participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
50,3.5745,4.3202,1.4441,1.6122,1.9295,1.5626,space,1.368,3,21,1
50,1.5152,3.9676,1.5046,2.5163,2.383,1.7756,y,4.4053,2,11,1
50,3.5942,2.4475,1.4045,2.1473,2.1279,1.8314,y,1.2896,1,4,1
50,1.7835,2.8014,2.4503,2.5586,1.7565,1.1382,y,2.0511,3,3,1
50,2.38,6.9281,1.1792,1.6093,2.1047,1.6817,y,1.7882,3,9,1
50,3.7718,3.1734,1.4473,1.8538,1.5873,1.7959,space,0.8229,2,20,1
50,2.782,3.1205,2.067,1.6484,1.7089,1.8315,y,1.8189,3,6,1
50,2.7924,4.5873,1.748,1.7732,3.9421,2.1042,space,1.9357,2,23,1
50,2.121,3.1894,1.7351,2.2412,1.5457,1.6241,n,1.3635,2,8,1
50,1.6202,3.2701,1.3309,1.9651,1.7257,1.4009,n,1.6121,1,10,1
50,2.3561,3.2054,1.5127,1.8815,1.8383,1.6528,space,1.5019,1,19,1
50,2.5522,7.6046,1.5564,1.5103,1.8809,2.1088,space,0.885,1,7,1
50,8.7282,2.9078,1.465,1.4225,2.2929,1.7204,space,1.0552,2,17,1
50,3.9024,2.4196,1.4128,1.2584,1.336,1.6654,space,1.7075,1,22,1
50,2.8286,3.0682,1.4578,2.9029,2.0983,1.7266,space,1.5885,3,18,1
50,1.7093,2.2488,1.472,1.3968,2.6208,1.7632,space,1.8013,1,13,1
50,0.1878,3.1457,1.2557,1.3335,2.1907,2.0075,y,1.4431,1,1,1
50,3.4891,3.3977,1.3297,1.563,1.6737,1.4152,space,2.1697,3,15,1
50,1.6424,2.969,1.3966,1.4197,1.5544,1.7148,y,2.9057,3,12,1
50,5.7098,4.3777,1.8504,1.9678,1.8408,0.9673,y,1.8845,2,5,1
50,5.5426,3.0513,2.3691,1.8256,2.3109,1.8036,y,1.5521,2,2,1
50,4.1384,3.301,1.5696,2.213,1.8654,3.4388,space,0.6401,2,14,1
50,3.7118,3.356,1.8471,1.6136,1.6915,2.3425,space,1.5257,3,24,1
50,2.3901,3.9774,1.7857,1.5043,1.4769,2.2323,space,0.5075,1,16,1
