participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
15,3.934,10.533,1.417,1.303,1.347,1.448,space,2.172,2,20,1
15,2.588,5.439,1.885,2.952,1.587,1.023,space,1.344,3,15,1
15,6.146,2.706,2.854,1.584,1.423,1.125,y,0.849,3,3,1
15,2.515,4.044,3.957,1.885,1.309,1.107,space,2.022,1,22,1
15,2.687,3.519,2.479,3.577,0.967,1.322,n,1.59,1,7,1
15,1.982,2.403,1.709,1.873,1.169,0.819,n,0.711,1,10,1
15,4.231,3.18,1.129,1.398,1.427,0.967,y,1.124,1,4,1
15,3.641,3.293,1.426,1.574,1.838,3.334,space,0.847,3,24,1
15,5.074,4.97,1.564,1.386,1.601,1.427,space,0.706,1,19,1
15,3.465,6.148,7.009,29.46,1.688,0.814,space,0.394,3,18,1
15,3.566,2.891,1.692,1.565,1.138,1.739,space,0.395,2,14,1
15,2.301,4.988,4.632,3.854,2.966,4.778,space,0.106,1,16,1
15,1.839,4.526,3.822,3.611,2.008,1.079,y,3.189,2,11,1
15,4.354,4.352,1.284,1.46,2.134,1.136,space,1.416,2,17,1
15,4.601,2.812,1.318,1.962,4.804,1.338,y,0.469,2,5,1
15,2.278,5.536,1.755,5.72,1.518,0.98,space,0.257,2,23,1
15,2.898,2.897,2.126,1.604,1.194,1.181,space,0.108,3,21,1
15,2.284,3.349,2.072,3.943,3.18,1.68,n,1.232,2,8,1
15,1.257,1.87,0.973,1.285,0.819,1.002,y,0.409,3,9,1
15,1.103,1.608,0.923,0.769,0.979,0.979,space,0.103,1,13,1
15,1.894,1.846,1.002,1.13,1.612,1.512,y,0.559,2,2,1
15,1.069,1.925,1.144,0.984,0.957,1.141,n,1.575,3,12,1
15,1.824,1.912,2.149,0.988,1.953,0.965,y,0.986,1,1,1
15,1.27,1.426,1.188,1.542,1.118,1.307,n,1.19,3,6,1
