participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
19,4.429,8.329,1.382,2.594,1.814,1.564,space,2.047,1,21,1
19,2.802,2.343,2.595,2.997,1.496,1.967,space,2.025,3,14,1
19,3.727,3.656,1.716,2.244,4.084,1.932,y,3.574,3,2,1
19,1.962,3.311,1.897,2.498,1.632,1.742,n,3.12,1,12,1
19,3.642,2.66,2.135,1.584,1.162,1.813,space,0.624,1,15,1
19,2.162,1.961,1.251,1.454,2.644,1.412,y,1.626,2,4,1
19,2.119,3.465,1.032,2.179,1.767,1.851,space,1.119,2,13,1
19,1.63,2.948,2.418,1.83,1.702,1.912,n,1.754,2,10,1
19,3.844,2.981,2.219,1.766,1.63,1.602,n,1.873,3,8,1
19,2.066,4.411,1.2,2.184,1.985,1.697,y,1.637,1,9,1
19,3.485,3.475,1.312,1.761,1.66,2.603,space,2.317,2,19,1
19,1.848,2.993,1.212,2.035,2.601,2.766,y,1.436,2,1,1
19,3.096,7.165,1.75,1.979,2.577,2.146,space,0.804,3,23,1
19,1.828,3.615,1.044,2.293,1.844,0.968,y,1.924,1,3,1
19,2.335,2.695,1.338,2.146,2.346,2.443,y,1.537,1,6,1
19,3.948,3.864,1.201,1.601,2.603,1.894,n,3.102,2,7,1
19,5.462,5.843,1.547,2.298,1.65,1.215,y,3.276,3,11,1
19,2.545,3.311,1.617,1.328,1.03,1.049,space,2.108,3,17,1
19,2.447,2.71,1.293,1.269,1.221,2.195,space,2.109,3,20,1
19,2.563,2.928,1.632,1.531,1.833,1.449,space,2.156,2,16,1
19,1.678,5.612,1.885,1.485,3.995,1.511,space,1.736,1,24,1
19,4.452,3.745,1.128,2.579,2.895,1.029,y,1.928,3,5,1
19,3.129,3.274,1.195,1.499,2.695,1.465,space,1.437,2,22,1
19,1.596,3.183,1.163,1.609,1.363,2.163,space,0.585,1,18,1
