participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
8,2.39536,5.54836,1.970785,3.248255,2.518445,1.762185,space,2.267255,2,22,1
8,4.96446,3.15706,2.67607,2.1709,2.11726,2.52415,n,1.355345,3,8,1
8,2.582485,3.95682,2.24517,2.53701,2.52492,2.73799,space,1.33197,3,14,1
8,2.633005,8.33438,1.221865,1.670625,2.65523,3.48302,y,17.634755,1,9,1
8,1.858225,5.576495,1.36442,3.702085,1.33725,1.32755,space,0.3391,2,16,1
8,4.745915,3.78832,1.51584,1.692635,1.83105,1.613925,space,0.64199,1,21,1
8,8.97313,5.981275,1.403975,1.44972,1.679165,3.547965,n,5.2723,2,7,1
8,3.39897,2.015525,1.06526,1.137805,8.1352,2.9143,space,1.90455,2,13,1
8,3.473795,3.614155,1.181015,1.50722,2.476695,1.877615,y,2.58957,3,2,1
8,2.078015,6.53424,4.867335,1.880135,1.452865,1.59618,y,7.326055,1,6,1
8,2.804315,3.09538,1.57925,1.84467,2.141135,1.57399,space,0.850395,3,17,1
8,3.005405,3.34345,1.293345,1.370575,1.43535,2.191105,space,0.382875,1,24,1
8,2.643955,3.230675,1.69854,1.488695,1.4144,2.219275,space,0.18973,2,19,1
8,1.615335,4.183755,1.18874,2.161375,1.861005,1.197695,y,6.21358,1,3,1
8,2.36971,3.31437,1.819885,2.43103,1.65133,1.433235,space,0.828805,1,15,1
8,2.159265,2.65276,1.388085,1.808765,1.70324,1.68007,space,0.589035,1,18,1
8,2.812505,2.81494,1.24953,1.464005,1.148905,1.068715,y,1.294675,3,5,1
8,1.36314,2.54709,4.648855,4.914715,1.968035,2.153095,y,1.56878,3,11,1
8,2.104425,5.779535,1.36361,1.21629,1.660035,1.163515,space,0.324015,3,23,1
8,1.83077,1.652485,1.532895,1.599945,1.41659,1.34692,y,1.02699,2,4,1
8,1.46065,3.75422,1.498395,1.410785,1.27236,1.866455,n,2.53912,1,12,1
8,2.769085,2.49431,1.939675,1.783025,1.526445,1.834635,space,0.72698,3,20,1
8,1.373985,2.01533,1.247285,1.7081,1.347305,1.36483,n,7.22244,2,10,1
8,2.348005,11.635935,1.7245,3.41631,2.219045,1.580065,y,1.07538,2,1,1
