participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
29,2.44812,2.898805,1.066715,1.080035,1.579165,1.063975,space,1.352395,2,15,1
29,2.92527,4.25161,1.29725,1.48734,1.45274,1.42176,space,0.84305,1,23,1
29,2.586725,3.150755,1.5657,1.4655,1.49398,1.203395,space,0.462165,2,21,1
29,2.13146,2.960695,1.03264,1.24372,1.309095,1.695515,y,1.036845,3,4,1
29,4.327065,4.030345,1.32131,1.2054,1.59184,1.748545,space,0.58795,1,20,1
29,1.747365,3.751275,5.155255,2.28766,1.366395,1.73188,n,0.878425,1,8,1
29,1.3695,3.74884,1.14988,1.795805,1.396445,1.911615,y,6.44358,2,12,1
29,1.44671,1.863245,1.62908,1.129455,1.14715,2.01206,y,0.64508,2,6,1
29,1.30245,2.265345,0.7464,0.79105,1.17999,1.418305,space,0.54652,1,17,1
29,1.412585,2.75165,1.200365,1.37218,1.49714,1.100615,space,0.33692,3,16,1
29,2.09541,3.09609,1.06962,1.3277,2.21704,1.429295,space,0.51981,2,24,1
29,1.33483,3.497295,0.88329,0.717205,2.31935,1.980415,space,0.435695,3,13,1
29,2.039335,4.02148,1.287275,2.124325,2.33233,2.369715,space,0.54854,2,18,1
29,2.078695,2.82226,1.050205,1.34815,0.997285,1.400605,space,0.553625,3,19,1
29,1.29684,4.12518,0.83735,0.998865,0.05987,2.074075,n,2.87219,3,10,1
29,4.528345,4.53133,1.35039,1.208765,1.54986,2.629155,space,1.336005,3,22,1
29,2.796565,2.562025,1.016515,1.01519,2.176245,2.24598,space,1.24271,1,14,1
29,1.72845,2.742315,0.70677,0.97934,1.5299,1.667585,y,5.665415,3,7,1
29,5.59313,3.43439,1.028715,1.18758,1.41284,1.253265,n,1.104575,1,11,1
29,2.551135,3.676455,1.20665,1.544465,2.00014,0.945055,n,2.93571,1,5,1
29,3.567205,2.736165,3.216575,2.876955,2.312155,2.88931,y,0.962685,1,2,1
29,2.02711,3.372165,0.98352,1.85552,6.58219,10.96572,y,17.76573,2,3,1
29,1.047175,6.946485,0.89695,0.928885,2.349135,1.529705,y,1.135075,3,1,1
29,3.78759,1.31213,1.28031,1.598875,2.910895,1.881875,y,1.913305,2,9,1
