participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
48,2.7603,2.9522,1.8075,2.5987,2.0568,2.8973,y,1.7725,3,9,1
48,2.9399,5.4807,2.7455,2.5784,1.7682,1.7492,space,0.2558,3,15,1
48,2.2097,5.2333,2.7126,2.191,2.2082,1.7519,space,0.3368,1,16,1
48,5.4379,3.3272,1.5254,1.9775,2.0777,1.698,space,2.5769,3,21,1
48,4.88,5.8577,1.6956,2.0014,1.7288,3.1409,space,0.9082,3,18,1
48,3.5547,2.159,1.692,1.8579,2.0815,2.3033,y,0.9068,3,6,1
48,3.0556,5.6655,1.1652,1.4227,2.3758,1.7093,space,1.2782,1,13,1
48,1.794,3.3558,1.7818,1.9722,2.3113,1.6673,n,2.3127,2,11,1
48,2.5442,4.8543,1.278,3.2302,2.7733,2.4803,space,0.822,2,14,1
48,2.752,3.8776,2.5617,2.2089,2.0428,2.9155,space,0.8979,3,24,1
48,2.4746,3.688,1.6257,2.0006,2.0024,2.5647,space,0.5029,1,22,1
48,1.3152,3.5016,1.7487,2.0216,1.6244,2.0001,n,2.4348,3,12,1
48,6.7498,4.9647,1.3454,1.8112,2.7479,3.4589,space,0.5244,2,23,1
48,2.6657,4.5572,1.5201,2.6864,3.675,2.0677,y,1.7805,2,2,1
48,3.1048,3.8105,1.2612,1.8771,1.6415,1.6408,space,0.2946,1,19,1
48,2.9337,3.605,1.2326,1.1694,1.5624,2.1894,n,2.9225,1,7,1
48,4.1903,3.5845,1.4595,2.6264,1.5653,2.0229,y,1.5777,3,3,1
48,5.0013,3.2518,2.4123,1.5648,1.419,1.7201,space,0.9393,2,20,1
48,2.2501,3.3579,1.7788,2.3967,3.3724,2.7326,n,0.8801,2,8,1
48,3.5211,3.537,1.6883,2.8741,3.7844,1.5903,y,0.8627,2,5,1
48,1.7517,3.0913,1.1781,1.3111,3.9549,1.7247,n,2.8429,1,10,1
48,7.5812,4.4734,1.8919,1.4955,1.5122,1.9342,y,0.8808,1,4,1
48,3.9235,3.2651,1.2506,1.2871,2.2487,1.4971,y,0.9435,1,1,1
48,3.2463,3.972,1.1375,1.3335,1.4384,1.6629,space,0.002,2,17,1
