participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
56,3.438,3.633,4.548,3.212,2.722,3.24,space,0.693,1,15,1
56,5.064,5.056,3.551,3.7,1.948,2.985,space,0.682,3,14,1
56,3.707,3.293,2.37,2.531,2.084,2.916,n,1.322,2,10,1
56,6.901,5.114,2.94,3.148,1.818,2.429,space,1.752,2,16,1
56,8.065,5.408,2.866,2.802,2.298,3.153,space,0.619,1,24,1
56,4.444,4.159,2.142,2.137,1.958,1.637,space,0.034,3,23,1
56,2.199,3.844,1.993,2.606,2.085,2.171,y,1,2,1,1
56,4.135,2.495,2.623,3.197,2.215,2.456,y,0.914,2,4,1
56,3.977,3.258,3.29,4.457,2.548,3.403,y,0.93,1,9,1
56,2.54,5.468,2.629,3.846,3.284,3.726,space,0.835,2,22,1
56,2.251,2.952,2.838,4.363,2.796,2.023,n,0.394,3,8,1
56,2.409,9.634,2.855,1.943,2.365,1.932,n,1.73,3,11,1
56,14.094,3.444,2.23,2.891,2.113,2.524,space,0.626,1,21,1
56,2.88,5.38,2.655,2.89,2.803,2.765,space,0.744,3,17,1
56,5.011,4.242,2.129,3.443,4.639,2.146,space,0.068,2,13,1
56,5.817,4.728,3.218,3.158,3.495,3.6,y,0.733,1,6,1
56,5.289,4.573,4.704,3.965,4.383,2.724,y,0.62,3,5,1
56,4.061,3.698,2.71,3.434,2.49,2.338,space,0.412,2,19,1
56,5.655,4.398,3.011,3.149,3.584,2.806,space,1.093,3,20,1
56,3.782,4.96,1.736,2.495,3.513,2.344,space,1.072,1,18,1
56,5.174,3.816,1.95,3.633,2.955,2.16,n,0.666,2,7,1
56,6.557,5.503,1.88,2.952,2.667,2.509,y,1.452,3,2,1
56,5.514,8.02,2.313,2.523,2.726,1.994,y,0.608,1,3,1
56,3.163,3.658,2.197,3.02,1.915,2.245,n,0.933,1,12,1
