participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
43,2.8329,3.7341,1.9556,3.388,2.2376,2.7529,space,0.6012,2,18,1
43,3.5627,3.6485,1.8527,1.337,1.7178,1.7671,space,0.352,1,17,1
43,5.9524,3.67,1.6712,1.4682,1.7695,2.1676,space,4.0704,1,20,1
43,3.4978,14.6667,1.5523,1.6849,2.0511,1.9187,space,3.1021,1,23,1
43,3.5154,3.1523,2.4683,1.776,1.9329,1.2897,y,3.4836,2,3,1
43,5.9747,3.0053,1.4149,2.4706,2.2821,1.1502,y,1.4849,1,5,1
43,5.7183,3.1181,1.518,2.5029,2.9184,2.8859,y,1.4016,2,9,1
43,3.3493,8.6676,1.351,2.1179,1.635,2.168,space,0.104,3,22,1
43,2.3347,4.0667,1.3196,1.7335,2.0342,1.485,n,1.7182,3,10,1
43,1.8345,9.9424,3.2481,1.7344,3.3347,1.4522,y,1.2517,3,1,1
43,4.3485,3.8185,2.1519,1.9505,2.4351,2.9526,space,0.3523,2,24,1
43,1.6848,2.3184,2.1184,1.5853,1.8543,1.3348,space,0.1512,2,15,1
43,2.2857,3.1998,1.4204,1.42,1.2839,1.9352,space,0.2681,1,14,1
43,2.1355,3.3679,1.5023,2.0845,2.0354,2.2347,n,0.9184,1,8,1
43,5.1277,2.6359,1.1516,1.3705,1.2357,1.9055,y,0.8178,3,4,1
43,3.3856,4.3184,1.4186,2.8523,2.0346,1.7366,space,0.135,3,19,1
43,2.7027,2.8532,2.2509,1.3179,2.0022,1.6509,y,1.2192,1,2,1
43,1.9848,10.9023,1.3496,1.7008,1.3577,3.6205,n,2.5706,2,12,1
43,1.7696,2.4327,1.6841,1.8218,3.4852,2.3357,y,1.0361,2,6,1
43,1.7526,4.9688,1.2183,2.7857,3.1017,1.3181,n,2.1013,1,11,1
43,2.1016,6.016,0.9561,1.1673,1.238,1.7675,n,0.9676,3,7,1
43,2.1177,3.8678,1.6521,2.2153,1.0862,2.3523,space,0.2349,3,16,1
43,1.9685,3.4084,0.9748,1.4087,1.5919,1.6998,space,0.1065,2,21,1
43,4.942,6.008,0.9616,1.1373,2.0262,1.3971,space,0.1594,3,13,1
