,participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number,Group_Status,RT1ms,RT2ms,RT3ms,RT4ms,RT5ms,RT6ms,TT
324,14,1.075065,2.16852,1.28542,0.949285,1.03248,1.19575,space,0.573645,Neutral,24,1,ASC,1075.065,2168.52,1285.42,949.285,1032.48,1195.75,7706.52
325,14,8.66776,1.474175,0.94602,0.82609,0.86247,1.093955,n,0.82715,Negative,7,1,ASC,8667.76,1474.175,946.02,826.09,862.47,1093.955,13870.47
326,14,0.71247,1.171435,1.051965,0.62088,1.484555,10.267375,n,3.440405,Positive,8,1,ASC,712.47,1171.435,1051.965,620.88,1484.555,10267.375,15308.68
327,14,0.630025,2.468345,5.058155,0.71807,0.88749,0.623085,space,0.068165,Negative,13,1,ASC,630.025,2468.345,5058.155,718.07,887.49,623.085,10385.17
328,14,0.867535,1.007755,0.695595,0.817775,1.01831,0.871395,y,0.60192,Neutral,9,1,ASC,867.535,1007.755,695.595,817.775,1018.31,871.395,5278.365
329,14,0.74268,1.13887,0.787325,1.109135,9.41684,0.751825,y,0.584205,Neutral,3,1,ASC,742.68,1138.87,787.325,1109.135,9416.84,751.825,13946.675
330,14,0.701035,6.59927,0.73625,0.806195,0.677785,0.619805,space,0.29287,Negative,22,1,ASC,701.035,6599.27,736.25,806.195,677.785,619.805,10140.34
331,14,0.430965,1.311425,0.619245,0.46951,0.536935,0.936125,space,0.08751,Positive,17,1,ASC,430.965,1311.425,619.245,469.51,536.935,936.125,4304.205
332,14,0.477315,1.101195,0.58642,0.69229,0.81204,0.737665,y,0.72523,Negative,1,1,ASC,477.315,1101.195,586.42,692.29,812.04,737.665,4406.925
333,14,1.484855,1.36807,0.8732,0.9883,1.052955,0.88648,y,0.87674,Positive,2,1,ASC,1484.855,1368.07,873.2,988.3,1052.955,886.48,6653.86
334,14,9.400125,1.490825,0.669715,0.784065,0.738205,1.03544,n,2.45056,Neutral,12,1,ASC,9400.125,1490.825,669.715,784.065,738.205,1035.44,14118.375
335,14,0.52296,1.020395,0.731705,0.90607,0.908505,0.6193,n,0.71307,Negative,10,1,ASC,522.96,1020.395,731.705,906.07,908.505,619.3,4708.935
336,14,0.875635,1.36222,1.06045,1.03586,0.6336,0.61248,space,0.072415,Positive,14,1,ASC,875.635,1362.22,1060.45,1035.86,633.6,612.48,5580.245
337,15,3.934,10.533,1.417,1.303,1.347,1.448,space,2.172,Positive,20,1,ASC,3934,10533,1417,1303,1347,1448,19982
338,15,2.588,5.439,1.885,2.952,1.587,1.023,space,1.344,Neutral,15,1,ASC,2588,5439,1885,2952,1587,1023,15474
339,15,6.146,2.706,2.854,1.584,1.423,1.125,y,0.849,Neutral,3,1,ASC,6146,2706,2854,1584,1423,1125,15838
340,15,2.515,4.044,3.957,1.885,1.309,1.107,space,2.022,Negative,22,1,ASC,2515,4044,3957,1885,1309,1107,14817
341,15,2.687,3.519,2.479,3.577,0.967,1.322,n,1.59,Negative,7,1,ASC,2687,3519,2479,3577,967,1322,14551
342,15,1.982,2.403,1.709,1.873,1.169,0.819,n,0.711,Negative,10,1,ASC,1982,2403,1709,1873,1169,819,9955
343,15,4.231,3.18,1.129,1.398,1.427,0.967,y,1.124,Negative,4,1,ASC,4231,3180,1129,1398,1427,967,12332
344,15,3.641,3.293,1.426,1.574,1.838,3.334,space,0.847,Neutral,24,1,ASC,3641,3293,1426,1574,1838,3334,15106
345,15,5.074,4.97,1.564,1.386,1.601,1.427,space,0.706,Negative,19,1,ASC,5074,4970,1564,1386,1601,1427,16022
346,15,3.465,6.148,7.009,29.46,1.688,0.814,space,0.394,Neutral,18,1,ASC,3465,6148,7009,29460,1688,814,48584
347,15,3.566,2.891,1.692,1.565,1.138,1.739,space,0.395,Positive,14,1,ASC,3566,2891,1692,1565,1138,1739,12591
348,15,2.301,4.988,4.632,3.854,2.966,4.778,space,0.106,Negative,16,1,ASC,2301,4988,4632,3854,2966,4778,23519
349,15,1.839,4.526,3.822,3.611,2.008,1.079,y,3.189,Positive,11,1,ASC,1839,4526,3822,3611,2008,1079,16885
350,15,4.354,4.352,1.284,1.46,2.134,1.136,space,1.416,Positive,17,1,ASC,4354,4352,1284,1460,2134,1136,14720
351,15,4.601,2.812,1.318,1.962,4.804,1.338,y,0.469,Positive,5,1,ASC,4601,2812,1318,1962,4804,1338,16835
352,15,2.278,5.536,1.755,5.72,1.518,0.98,space,0.257,Positive,23,1,ASC,2278,5536,1755,5720,1518,980,17787
353,15,2.898,2.897,2.126,1.604,1.194,1.181,space,0.108,Neutral,21,1,ASC,2898,2897,2126,1604,1194,1181,11900
354,15,2.284,3.349,2.072,3.943,3.18,1.68,n,1.232,Positive,8,1,ASC,2284,3349,2072,3943,3180,1680,16508
355,15,1.257,1.87,0.973,1.285,0.819,1.002,y,0.409,Neutral,9,1,ASC,1257,1870,973,1285,819,1002,7206
356,15,1.103,1.608,0.923,0.769,0.979,0.979,space,0.103,Negative,13,1,ASC,1103,1608,923,769,979,979,6361
357,15,1.894,1.846,1.002,1.13,1.612,1.512,y,0.559,Positive,2,1,ASC,1894,1846,1002,1130,1612,1512,8996
358,15,1.069,1.925,1.144,0.984,0.957,1.141,n,1.575,Neutral,12,1,ASC,1069,1925,1144,984,957,1141,7220
359,15,1.824,1.912,2.149,0.988,1.953,0.965,y,0.986,Negative,1,1,ASC,1824,1912,2149,988,1953,965,9791
360,15,1.27,1.426,1.188,1.542,1.118,1.307,n,1.19,Neutral,6,1,ASC,1270,1426,1188,1542,1118,1307,7851
361,16,1.59299,2.262075,1.150515,1.095085,1.05114,0.930055,space,0.0022,Positive,23,1,ASC,1592.99,2262.075,1150.515,1095.085,1051.14,930.055,8081.86
362,16,4.1806,2.046465,1.21673,1.10799,0.99387,1.09034,space,1.247465,Neutral,15,1,ASC,4180.6,2046.465,1216.73,1107.99,993.87,1090.34,10635.995
363,16,1.44466,1.36136,0.83866,1.156665,1.56897,0.87288,y,2.9609,Positive,2,1,ASC,1444.66,1361.36,838.66,1156.665,1568.97,872.88,7243.195
364,16,1.511205,1.72958,0.844745,0.97244,0.93042,0.87894,space,1.757695,Neutral,18,1,ASC,1511.205,1729.58,844.745,972.44,930.42,878.94,6867.33
365,16,1.724555,2.17782,1.01366,1.10017,1.06222,0.96259,y,1.85328,Neutral,9,1,ASC,1724.555,2177.82,1013.66,1100.17,1062.22,962.59,8041.015
366,16,1.709885,2.313635,1.084305,0.9019,1.11196,0.902435,n,0.481585,Positive,8,1,ASC,1709.885,2313.635,1084.305,901.9,1111.96,902.435,8024.12
367,16,1.82965,1.871515,1.10848,0.932715,0.896625,1.20634,space,0.80393,Neutral,24,1,ASC,1829.65,1871.515,1108.48,932.715,896.625,1206.34,7845.325
368,16,1.294805,1.300195,1.16244,1.11682,1.212875,1.087625,n,0.847795,Positive,11,1,ASC,1294.805,1300.195,1162.44,1116.82,1212.875,1087.625,7174.76
369,16,1.71862,1.52884,1.02735,0.91746,0.94652,1.167585,space,0.62317,Positive,20,1,ASC,1718.62,1528.84,1027.35,917.46,946.52,1167.585,7306.375
370,16,1.54297,1.34627,0.901125,0.92415,1.67314,1.04887,space,0.27369,Negative,16,1,ASC,1542.97,1346.27,901.125,924.15,1673.14,1048.87,7436.525
371,16,3.53024,0.91715,0.77581,1.74104,0.801025,1.08547,space,0.04235,Positive,14,1,ASC,3530.24,917.15,775.81,1741.04,801.025,1085.47,8850.735
372,16,1.008565,1.43356,0.89738,0.83322,1.09712,0.905355,space,0.690415,Negative,13,1,ASC,1008.565,1433.56,897.38,833.22,1097.12,905.355,6175.2
373,16,0.962395,1.029325,0.9076,0.93755,0.95563,0.93692,space,1.9879,Negative,19,1,ASC,962.395,1029.325,907.6,937.55,955.63,936.92,5729.42
374,16,0.992145,1.266955,0.73765,1.380425,0.84406,0.868485,space,1.35453,Positive,17,1,ASC,992.145,1266.955,737.65,1380.425,844.06,868.485,6089.72
375,16,1.57067,1.413995,0.996365,1.25168,1.06212,0.973505,y,2.630935,Negative,4,1,ASC,1570.67,1413.995,996.365,1251.68,1062.12,973.505,7268.335
376,16,2.110075,0.9294,0.79715,1.191595,0.844585,0.79591,y,0.32971,Neutral,3,1,ASC,2110.075,929.4,797.15,1191.595,844.585,795.91,6668.715
377,16,1.053115,1.190665,0.96313,0.89549,0.85224,0.952525,n,3.07619,Neutral,12,1,ASC,1053.115,1190.665,963.13,895.49,852.24,952.525,5907.165
378,16,1.367255,2.14807,0.902435,0.9707,0.88169,1.02418,y,2.00924,Neutral,6,1,ASC,1367.255,2148.07,902.435,970.7,881.69,1024.18,7294.33
379,16,1.45753,1.942655,0.807355,0.877665,0.903105,0.898415,space,0.031075,Neutral,21,1,ASC,1457.53,1942.655,807.355,877.665,903.105,898.415,6886.725
380,16,1.201165,1.60339,0.929785,1.21503,1.04521,0.771665,y,0.47086,Positive,5,1,ASC,1201.165,1603.39,929.785,1215.03,1045.21,771.665,6766.245
381,16,3.8107,1.28468,0.914345,0.830085,0.741045,1.081505,n,0.37476,Negative,7,1,ASC,3810.7,1284.68,914.345,830.085,741.045,1081.505,8662.36
382,16,1.210355,1.104035,0.884885,0.815825,0.903545,0.773325,y,0.306905,Negative,1,1,ASC,1210.355,1104.035,884.885,815.825,903.545,773.325,5691.97
383,16,4.35455,1.27966,0.711475,1.000965,0.95156,1.103695,space,1.60628,Negative,22,1,ASC,4354.55,1279.66,711.475,1000.965,951.56,1103.695,9401.905
384,16,1.192655,1.17781,1.074265,1.054855,1.697805,1.54726,n,0.77075,Negative,10,1,ASC,1192.655,1177.81,1074.265,1054.855,1697.805,1547.26,7744.65
385,17,2.850415,2.530145,1.66986,1.96605,2.41842,2.133915,space,0.682265,Positive,13,1,ASC,2850.415,2530.145,1669.86,1966.05,2418.42,2133.915,13568.805
386,17,2.63971,4.745,2.20636,2.23336,2.264135,2.23515,space,0.98815,Neutral,20,1,ASC,2639.71,4745,2206.36,2233.36,2264.135,2235.15,16323.715
387,17,2.29449,4.5005,1.930245,2.69778,2.293375,2.4962,space,0.721835,Negative,18,1,ASC,2294.49,4500.5,1930.245,2697.78,2293.375,2496.2,16212.59
388,17,2.09855,5.412735,2.12897,2.16577,3.281745,1.72435,n,0.95524,Neutral,11,1,ASC,2098.55,5412.735,2128.97,2165.77,3281.745,1724.35,16812.12
389,17,3.133305,2.93539,1.36698,2.52383,2.61415,1.785835,space,0.109285,Positive,16,1,ASC,3133.305,2935.39,1366.98,2523.83,2614.15,1785.835,14359.49
390,17,3.976435,4.08892,1.67422,1.812915,1.64756,1.84744,n,5.635645,Positive,7,1,ASC,3976.435,4088.92,1674.22,1812.915,1647.56,1847.44,15047.49
391,17,2.610965,4.39674,2.20291,1.864105,2.310535,2.19022,y,1.60524,Positive,1,1,ASC,2610.965,4396.74,2202.91,1864.105,2310.535,2190.22,15575.475
392,17,8.869295,6.73396,2.00061,2.140495,2.43454,2.51633,y,0.601145,Positive,4,1,ASC,8869.295,6733.96,2000.61,2140.495,2434.54,2516.33,24695.23
393,17,4.024545,2.918045,1.45407,2.200935,1.72922,2.423235,y,2.006005,Negative,9,1,ASC,4024.545,2918.045,1454.07,2200.935,1729.22,2423.235,14750.05
394,17,3.39742,4.45747,1.54677,1.794515,1.915845,1.834435,n,13.85625,Negative,12,1,ASC,3397.42,4457.47,1546.77,1794.515,1915.845,1834.435,14946.455
395,17,11.221665,3.1957,2.51352,1.4981,2.396375,1.464345,y,4.755265,Neutral,5,1,ASC,11221.665,3195.7,2513.52,1498.1,2396.375,1464.345,22289.705
396,17,2.021305,3.07049,2.534335,2.533135,2.05226,1.77145,n,0.764075,Neutral,8,1,ASC,2021.305,3070.49,2534.335,2533.135,2052.26,1771.45,13982.975
397,17,5.28511,8.419485,4.27784,3.70143,2.028015,1.3338,space,0.109545,Positive,19,1,ASC,5285.11,8419.485,4277.84,3701.43,2028.015,1333.8,25045.68
398,17,3.14384,2.967145,2.08391,2.017825,1.909225,1.616845,space,1.677445,Negative,21,1,ASC,3143.84,2967.145,2083.91,2017.825,1909.225,1616.845,13738.79
399,17,3.639315,3.05968,1.564785,2.187405,1.79395,2.38283,space,0.253325,Neutral,14,1,ASC,3639.315,3059.68,1564.785,2187.405,1793.95,2382.83,14627.965
400,17,3.60891,6.012415,2.14553,2.01472,2.206095,3.368295,y,1.60907,Neutral,2,1,ASC,3608.91,6012.415,2145.53,2014.72,2206.095,3368.295,19355.965
401,17,2.78291,5.613125,2.036995,1.991655,2.81247,2.92209,space,19.60457,Neutral,23,1,ASC,2782.91,5613.125,2036.995,1991.655,2812.47,2922.09,18159.245
402,17,3.075855,4.82222,2.53005,1.9196,2.715785,2.58567,space,0.369225,Negative,24,1,ASC,3075.855,4822.22,2530.05,1919.6,2715.785,2585.67,17649.18
403,17,3.16726,3.68522,1.884355,1.432975,1.44832,1.70257,space,0.15722,Negative,15,1,ASC,3167.26,3685.22,1884.355,1432.975,1448.32,1702.57,13320.7
404,17,2.33755,1.98576,1.63284,1.6801,2.69588,2.235005,y,2.47029,Negative,6,1,ASC,2337.55,1985.76,1632.84,1680.1,2695.88,2235.005,12567.135
405,17,1.904455,4.350685,1.606645,1.547,1.721105,2.089435,space,0.438025,Neutral,17,1,ASC,1904.455,4350.685,1606.645,1547,1721.105,2089.435,13219.325
406,17,2.50266,2.39691,1.156175,1.60247,2.08553,1.73501,n,0.687045,Positive,10,1,ASC,2502.66,2396.91,1156.175,1602.47,2085.53,1735.01,11478.755
407,17,2.293965,2.38167,1.41019,1.32925,1.491495,1.56978,space,1.94795,Positive,22,1,ASC,2293.965,2381.67,1410.19,1329.25,1491.495,1569.78,10476.35
408,17,3.304715,4.30415,2.27749,1.921725,1.63849,2.034005,y,3.74921,Negative,3,1,ASC,3304.715,4304.15,2277.49,1921.725,1638.49,2034.005,15480.575
409,18,3.095245,3.69999,1.783555,1.318165,1.216685,1.46663,space,0.1336,Neutral,20,1,ASC,3095.245,3699.99,1783.555,1318.165,1216.685,1466.63,12580.27
410,18,2.63291,4.884615,2.099415,1.783175,2.748705,1.29953,y,2.01714,Neutral,2,1,ASC,2632.91,4884.615,2099.415,1783.175,2748.705,1299.53,15448.35
411,18,1.81543,5.365485,1.4495,1.399385,2.149405,1.482605,y,1.033885,Positive,1,1,ASC,1815.43,5365.485,1449.5,1399.385,2149.405,1482.605,13661.81
412,18,3.12939,4.227955,1.6261,1.385305,3.41543,2.20674,space,1.51718,Negative,24,1,ASC,3129.39,4227.955,1626.1,1385.305,3415.43,2206.74,15990.92
413,18,1.96898,3.025295,0.95999,2.49618,2.06788,1.728735,space,0.65873,Positive,22,1,ASC,1968.98,3025.295,959.99,2496.18,2067.88,1728.735,12247.06
414,18,2.931125,2.30404,1.17125,1.501695,1.566695,1.549175,y,0.801125,Positive,4,1,ASC,2931.125,2304.04,1171.25,1501.695,1566.695,1549.175,11023.98
415,18,2.688175,2.684075,1.82622,1.5529,1.110655,1.433295,space,1.42399,Negative,15,1,ASC,2688.175,2684.075,1826.22,1552.9,1110.655,1433.295,11295.32
416,18,3.43529,4.1406,1.49868,1.38648,1.28191,2.22876,n,1.33696,Positive,7,1,ASC,3435.29,4140.6,1498.68,1386.48,1281.91,2228.76,13971.72
417,18,2.6901,2.716725,1.328815,1.569635,1.721315,1.78278,y,0.88005,Negative,3,1,ASC,2690.1,2716.725,1328.815,1569.635,1721.315,1782.78,11809.37
418,18,1.85228,1.89562,1.986245,1.533475,1.499625,3.43207,y,2.924045,Negative,6,1,ASC,1852.28,1895.62,1986.245,1533.475,1499.625,3432.07,12199.315
419,18,3.79967,3.982505,1.16672,1.782685,2.098625,1.41324,space,1.753115,Negative,21,1,ASC,3799.67,3982.505,1166.72,1782.685,2098.625,1413.24,14243.445
420,18,4.686495,7.05101,1.14988,1.01641,2.299425,1.746285,space,1.50288,Neutral,23,1,ASC,4686.495,7051.01,1149.88,1016.41,2299.425,1746.285,17949.505
421,18,2.20009,3.68369,1.77567,1.651095,2.149115,1.551465,n,1.55097,Positive,10,1,ASC,2200.09,3683.69,1775.67,1651.095,2149.115,1551.465,13011.125
422,18,2.870055,1.97967,1.45362,5.95441,1.743965,2.372,y,1.615975,Negative,9,1,ASC,2870.055,1979.67,1453.62,5954.41,1743.965,2372,16373.72
423,18,2.018185,3.07261,1.984845,1.53253,1.732575,1.26556,n,3.63285,Neutral,11,1,ASC,2018.185,3072.61,1984.845,1532.53,1732.575,1265.56,11606.305
424,18,1.631935,2.148915,1.499305,3.254795,3.2551,2.483065,space,2.574285,Positive,13,1,ASC,1631.935,2148.915,1499.305,3254.795,3255.1,2483.065,14273.115
425,18,1.78487,4.14193,1.518415,2.312905,1.439085,2.212095,n,1.72093,Negative,12,1,ASC,1784.87,4141.93,1518.415,2312.905,1439.085,2212.095,13409.3
426,18,3.406585,4.43258,0.84047,1.704815,1.627845,1.68289,space,1.67611,Neutral,17,1,ASC,3406.585,4432.58,840.47,1704.815,1627.845,1682.89,13695.185
427,18,2.19083,2.921235,2.45667,2.00579,1.90848,1.426745,space,1.300175,Positive,19,1,ASC,2190.83,2921.235,2456.67,2005.79,1908.48,1426.745,12909.75
428,18,1.26611,3.573495,1.366235,2.162455,2.33878,1.61728,space,1.51779,Positive,16,1,ASC,1266.11,3573.495,1366.235,2162.455,2338.78,1617.28,12324.355
429,18,1.84115,2.51557,0.91618,2.41621,2.017765,3.384065,n,1.136495,Neutral,8,1,ASC,1841.15,2515.57,916.18,2416.21,2017.765,3384.065,13090.94
430,18,2.599095,8.68275,1.532505,1.64947,1.649385,1.45337,space,0.000445,Negative,18,1,ASC,2599.095,8682.75,1532.505,1649.47,1649.385,1453.37,17566.575
431,18,2.29171,3.04592,1.615335,1.85896,2.744115,2.882195,space,1.445345,Neutral,14,1,ASC,2291.71,3045.92,1615.335,1858.96,2744.115,2882.195,14438.235
432,18,4.83594,4.2338,1.783375,1.791355,3.38314,1.16601,y,1.37676,Neutral,5,1,ASC,4835.94,4233.8,1783.375,1791.355,3383.14,1166.01,17193.62
433,19,4.429,8.329,1.382,2.594,1.814,1.564,space,2.047,Negative,21,1,ASC,4429,8329,1382,2594,1814,1564,20112
434,19,2.802,2.343,2.595,2.997,1.496,1.967,space,2.025,Neutral,14,1,ASC,2802,2343,2595,2997,1496,1967,14200
435,19,3.727,3.656,1.716,2.244,4.084,1.932,y,3.574,Neutral,2,1,ASC,3727,3656,1716,2244,4084,1932,17359
436,19,1.962,3.311,1.897,2.498,1.632,1.742,n,3.12,Negative,12,1,ASC,1962,3311,1897,2498,1632,1742,13042
437,19,3.642,2.66,2.135,1.584,1.162,1.813,space,0.624,Negative,15,1,ASC,3642,2660,2135,1584,1162,1813,12996
438,19,2.162,1.961,1.251,1.454,2.644,1.412,y,1.626,Positive,4,1,ASC,2162,1961,1251,1454,2644,1412,10884
439,19,2.119,3.465,1.032,2.179,1.767,1.851,space,1.119,Positive,13,1,ASC,2119,3465,1032,2179,1767,1851,12413
440,19,1.63,2.948,2.418,1.83,1.702,1.912,n,1.754,Positive,10,1,ASC,1630,2948,2418,1830,1702,1912,12440
441,19,3.844,2.981,2.219,1.766,1.63,1.602,n,1.873,Neutral,8,1,ASC,3844,2981,2219,1766,1630,1602,14042
442,19,2.066,4.411,1.2,2.184,1.985,1.697,y,1.637,Negative,9,1,ASC,2066,4411,1200,2184,1985,1697,13543
443,19,3.485,3.475,1.312,1.761,1.66,2.603,space,2.317,Positive,19,1,ASC,3485,3475,1312,1761,1660,2603,14296
444,19,1.848,2.993,1.212,2.035,2.601,2.766,y,1.436,Positive,1,1,ASC,1848,2993,1212,2035,2601,2766,13455
445,19,3.096,7.165,1.75,1.979,2.577,2.146,space,0.804,Neutral,23,1,ASC,3096,7165,1750,1979,2577,2146,18713
446,19,1.828,3.615,1.044,2.293,1.844,0.968,y,1.924,Negative,3,1,ASC,1828,3615,1044,2293,1844,968,11592
447,19,2.335,2.695,1.338,2.146,2.346,2.443,y,1.537,Negative,6,1,ASC,2335,2695,1338,2146,2346,2443,13303
448,19,3.948,3.864,1.201,1.601,2.603,1.894,n,3.102,Positive,7,1,ASC,3948,3864,1201,1601,2603,1894,15111
449,19,5.462,5.843,1.547,2.298,1.65,1.215,y,3.276,Neutral,11,1,ASC,5462,5843,1547,2298,1650,1215,18015
450,19,2.545,3.311,1.617,1.328,1.03,1.049,space,2.108,Neutral,17,1,ASC,2545,3311,1617,1328,1030,1049,10880
451,19,2.447,2.71,1.293,1.269,1.221,2.195,space,2.109,Neutral,20,1,ASC,2447,2710,1293,1269,1221,2195,11135
452,19,2.563,2.928,1.632,1.531,1.833,1.449,space,2.156,Positive,16,1,ASC,2563,2928,1632,1531,1833,1449,11936
453,19,1.678,5.612,1.885,1.485,3.995,1.511,space,1.736,Negative,24,1,ASC,1678,5612,1885,1485,3995,1511,16166
454,19,4.452,3.745,1.128,2.579,2.895,1.029,y,1.928,Neutral,5,1,ASC,4452,3745,1128,2579,2895,1029,15828
455,19,3.129,3.274,1.195,1.499,2.695,1.465,space,1.437,Positive,22,1,ASC,3129,3274,1195,1499,2695,1465,13257
456,19,1.596,3.183,1.163,1.609,1.363,2.163,space,0.585,Negative,18,1,ASC,1596,3183,1163,1609,1363,2163,11077
457,20,4.5048,13.490475,5.5698,5.586825,4.919985,1.81894,n,6.694505,Neutral,11,1,ASC,4504.8,13490.475,5569.8,5586.825,4919.985,1818.94,35890.825
458,20,2.925295,4.606915,1.384765,2.95348,2.3866,2.71298,space,4.68643,Negative,18,1,ASC,2925.295,4606.915,1384.765,2953.48,2386.6,2712.98,16970.035
459,20,14.865055,5.93761,6.01266,3.176215,2.21908,1.58377,n,2.519445,Negative,12,1,ASC,14865.055,5937.61,6012.66,3176.215,2219.08,1583.77,33794.39
460,20,2.525325,6.63021,2.624855,3.086675,2.31878,3.85382,space,1.15536,Positive,22,1,ASC,2525.325,6630.21,2624.855,3086.675,2318.78,3853.82,21039.665
461,20,1.85599,15.060525,1.402435,1.267135,2.968665,3.654005,space,0.940345,Neutral,23,1,ASC,1855.99,15060.525,1402.435,1267.135,2968.665,3654.005,26208.755
462,20,84.65842,3.368675,1.28482,2.853905,1.353425,2.40422,n,2.4877,Positive,7,1,ASC,84658.42,3368.675,1284.82,2853.905,1353.425,2404.22,95923.465
463,20,1.736925,27.241665,1.201085,1.649555,3.4191,1.563435,n,0.85612,Positive,10,1,ASC,1736.925,27241.665,1201.085,1649.555,3419.1,1563.435,36811.765
464,20,2.50299,4.13685,2.326705,1.575065,1.66931,4.506395,y,1.46889,Negative,6,1,ASC,2502.99,4136.85,2326.705,1575.065,1669.31,4506.395,16717.315
465,20,1.23573,17.334905,1.976555,4.453855,3.96938,4.62462,y,2.92461,Positive,1,1,ASC,1235.73,17334.905,1976.555,4453.855,3969.38,4624.62,33595.045
466,20,13.25719,4.754155,1.02551,1.85622,3.220935,1.528855,space,0.268255,Negative,21,1,ASC,13257.19,4754.155,1025.51,1856.22,3220.935,1528.855,25642.865
467,20,3.404755,9.625175,7.222005,7.021715,2.25276,1.59596,y,5.307105,Positive,4,1,ASC,3404.755,9625.175,7222.005,7021.715,2252.76,1595.96,31122.37
468,20,1.65854,2.76711,1.40253,2.35225,1.10235,2.606165,space,0.3009,Neutral,14,1,ASC,1658.54,2767.11,1402.53,2352.25,1102.35,2606.165,11888.945
469,20,7.304245,43.89059,0.93391,1.208745,1.235425,1.3503,space,0.188945,Neutral,17,1,ASC,7304.245,43890.59,933.91,1208.745,1235.425,1350.3,55923.215
470,20,4.237685,6.571285,1.886005,1.27078,1.76828,1.95191,space,0.010215,Neutral,20,1,ASC,4237.685,6571.285,1886.005,1270.78,1768.28,1951.91,17685.945
471,20,3.31126,2.776155,1.26806,1.859195,3.96957,2.25355,n,0.529,Neutral,8,1,ASC,3311.26,2776.155,1268.06,1859.195,3969.57,2253.55,15437.79
472,20,20.83401,7.47666,2.866735,4.90586,2.945735,1.001365,y,1.3914,Neutral,5,1,ASC,20834.01,7476.66,2866.735,4905.86,2945.735,1001.365,40030.365
473,20,1.494665,51.32936,1.339125,1.37453,2.65247,2.451825,space,0.233095,Positive,13,1,ASC,1494.665,51329.36,1339.125,1374.53,2652.47,2451.825,60641.975
474,20,1.92472,2.58986,0.98541,2.20179,1.2411,3.72519,y,2.285285,Negative,9,1,ASC,1924.72,2589.86,985.41,2201.79,1241.1,3725.19,12668.07
475,20,1264.3242,12.77475,13.701325,2.898375,3.11834,3.1613,space,1.660635,Positive,19,1,ASC,1264324.2,12774.75,13701.325,2898.375,3118.34,3161.3,1299978.29
476,20,2.586665,23.41105,1.11859,1.234375,1.43627,2.26266,y,5.01351,Negative,3,1,ASC,2586.665,23411.05,1118.59,1234.375,1436.27,2262.66,32049.61
477,20,3.54265,4.140705,0.837755,1.28974,1.58922,2.068565,space,0.033145,Negative,24,1,ASC,3542.65,4140.705,837.755,1289.74,1589.22,2068.565,13468.635
478,20,1.195555,4.53105,1.750875,2.53533,1.59555,1.241915,space,0.001135,Positive,16,1,ASC,1195.555,4531.05,1750.875,2535.33,1595.55,1241.915,12850.275
479,20,3.139625,11.811325,9.396195,1.311235,1.705025,1.41923,y,3.668165,Neutral,2,1,ASC,3139.625,11811.325,9396.195,1311.235,1705.025,1419.23,28782.635
480,20,2.854315,2.23426,1.126305,1.06802,1.62061,1.73839,space,0.338005,Negative,15,1,ASC,2854.315,2234.26,1126.305,1068.02,1620.61,1738.39,10641.9
481,21,2.79514,3.325295,0.872555,1.8427,1.17755,1.483225,y,1.42129,Positive,9,1,ASC,2795.14,3325.295,872.555,1842.7,1177.55,1483.225,11496.465
482,21,1.902075,3.57233,1.013965,1.125815,1.386395,1.0709,space,0.681975,Positive,15,1,ASC,1902.075,3572.33,1013.965,1125.815,1386.395,1070.9,10071.48
483,21,1.967665,2.162885,0.599805,1.73813,1.19067,1.60085,space,0.051255,Neutral,19,1,ASC,1967.665,2162.885,599.805,1738.13,1190.67,1600.85,9260.005
484,21,2.19268,3.976065,1.467885,1.00651,2.8628,1.165685,space,0.168655,Neutral,22,1,ASC,2192.68,3976.065,1467.885,1006.51,2862.8,1165.685,12671.625
485,21,1.16137,2.0155,0.625775,0.93308,1.31136,1.33481,space,0.56925,Negative,23,1,ASC,1161.37,2015.5,625.775,933.08,1311.36,1334.81,7381.895
486,21,2.449895,2.65415,0.917045,1.04795,1.583135,1.190085,space,0.41395,Neutral,13,1,ASC,2449.895,2654.15,917.045,1047.95,1583.135,1190.085,9842.26
487,21,1.80321,2.72473,0.658385,0.85928,1.53566,1.23182,y,3.205855,Neutral,1,1,ASC,1803.21,2724.73,658.385,859.28,1535.66,1231.82,8813.085
488,21,2.987305,5.07222,1.170235,0.989585,1.326435,1.22886,n,1.17306,Neutral,7,1,ASC,2987.305,5072.22,1170.235,989.585,1326.435,1228.86,12774.64
489,21,2.848675,1.33797,1.128245,1.092885,1.60228,1.127935,space,1.32186,Positive,18,1,ASC,2848.675,1337.97,1128.245,1092.885,1602.28,1127.935,9137.99
490,21,1.14093,0.60228,2.442045,1.419245,1.727555,0.79331,n,0.431265,Negative,8,1,ASC,1140.93,602.28,2442.045,1419.245,1727.555,793.31,8125.365
491,21,1.591805,1.823435,0.678605,1.584625,1.02321,0.91078,y,2.127015,Positive,3,1,ASC,1591.805,1823.435,678.605,1584.625,1023.21,910.78,7612.46
492,21,1.734975,2.194385,1.087815,1.395695,1.896305,1.86847,space,0.302705,Negative,14,1,ASC,1734.975,2194.385,1087.815,1395.695,1896.305,1868.47,10177.645
493,21,0.74854,5.23129,0.883675,1.01687,0.69645,2.28291,space,0.192225,Positive,24,1,ASC,748.54,5231.29,883.675,1016.87,696.45,2282.91,10859.735
