,participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number,Group_Status,RT1ms,RT2ms,RT3ms,RT4ms,RT5ms,RT6ms,TT
286,12,5.169845,6.367425,1.79625,3.202935,2.00027,1.71689,y,1.303035,Positive,3,1,ASC,5169.845,6367.425,1796.25,3202.935,2000.27,1716.89,20253.615
287,12,6.51435,5.266865,1.89947,1.849615,1.63286,1.883635,space,0.72052,Neutral,19,1,ASC,6514.35,5266.865,1899.47,1849.615,1632.86,1883.635,19046.795
288,12,0.232135,6.102755,2.067065,1.650705,1.645375,2.949795,space,2.283395,Negative,23,1,ASC,232.135,6102.755,2067.065,1650.705,1645.375,2949.795,14647.83
289,13,4.222175,3.45479,0.972575,1.093205,1.620055,1.12175,space,0.28026,Negative,13,1,ASC,4222.175,3454.79,972.575,1093.205,1620.055,1121.75,12484.55
290,13,2.854725,1.792735,1.06884,0.90735,1.691565,1.250875,y,1.41117,Negative,1,1,ASC,2854.725,1792.735,1068.84,907.35,1691.565,1250.875,9566.09
291,13,1.37564,4.317855,1.11032,2.13238,2.128255,1.050445,n,2.237905,Positive,11,1,ASC,1375.64,4317.855,1110.32,2132.38,2128.255,1050.445,12114.895
292,13,3.800175,3.36125,1.36469,2.026675,1.516685,1.538695,space,0.115265,Neutral,21,1,ASC,3800.175,3361.25,1364.69,2026.675,1516.685,1538.695,13608.17
293,13,1.61566,2.15939,0.974595,1.203375,1.4665,1.183565,y,1.480395,Neutral,3,1,ASC,1615.66,2159.39,974.595,1203.375,1466.5,1183.565,8603.085
294,13,1.259425,2.618495,0.844935,1.488975,1.41765,2.992465,n,0.87589,Positive,8,1,ASC,1259.425,2618.495,844.935,1488.975,1417.65,2992.465,10621.945
295,13,2.95612,2.349955,1.204945,1.458085,1.32002,1.20679,space,0.3118,Negative,19,1,ASC,2956.12,2349.955,1204.945,1458.085,1320.02,1206.79,10495.915
296,13,1.87672,3.17457,1.33942,2.41036,1.57252,1.28574,y,1.15069,Neutral,9,1,ASC,1876.72,3174.57,1339.42,2410.36,1572.52,1285.74,11659.33
297,13,1.79903,4.77377,0.99564,1.07625,1.1841,1.805715,y,3.477525,Neutral,12,1,ASC,1799.03,4773.77,995.64,1076.25,1184.1,1805.715,11634.505
298,13,1.61967,4.49114,0.95844,1.547435,1.368715,1.40213,space,0.265015,Positive,17,1,ASC,1619.67,4491.14,958.44,1547.435,1368.715,1402.13,11387.53
299,13,1.90847,3.25824,1.107265,2.24195,1.97477,2.32739,space,0.282615,Positive,14,1,ASC,1908.47,3258.24,1107.265,2241.95,1974.77,2327.39,12818.085
300,13,4.28945,3.99123,1.34092,1.651795,1.589255,1.078945,y,2.20408,Positive,5,1,ASC,4289.45,3991.23,1340.92,1651.795,1589.255,1078.945,13941.595
301,13,3.916535,2.059275,1.127895,1.417635,0.98144,1.61002,y,0.989615,Neutral,6,1,ASC,3916.535,2059.275,1127.895,1417.635,981.44,1610.02,11112.8
302,13,2.505015,3.13479,1.027765,1.368415,1.818685,2.264445,space,0.519955,Positive,23,1,ASC,2505.015,3134.79,1027.765,1368.415,1818.685,2264.445,12119.115
303,13,2.42378,2.17901,1.18481,1.225115,1.347925,1.31731,y,0.82744,Negative,4,1,ASC,2423.78,2179.01,1184.81,1225.115,1347.925,1317.31,9677.95
304,13,1.57211,6.85274,1.315185,1.841835,1.25216,1.018645,space,0.439905,Negative,16,1,ASC,1572.11,6852.74,1315.185,1841.835,1252.16,1018.645,13852.675
305,13,2.29304,3.060355,1.145315,1.260995,1.141435,1.30935,n,0.927935,Negative,7,1,ASC,2293.04,3060.355,1145.315,1260.995,1141.435,1309.35,10210.49
306,13,1.998375,3.860545,0.90399,0.985185,2.96754,1.240585,y,1.152955,Positive,2,1,ASC,1998.375,3860.545,903.99,985.185,2967.54,1240.585,11956.22
307,13,2.776475,1.796735,1.05616,0.64451,0.84819,1.308085,space,0.150495,Positive,20,1,ASC,2776.475,1796.735,1056.16,644.51,848.19,1308.085,8430.155
308,13,2.383355,2.10231,1.08549,1.063265,1.691005,1.023035,space,0.098785,Neutral,18,1,ASC,2383.355,2102.31,1085.49,1063.265,1691.005,1023.035,9348.46
