participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
44,1.3353,2.0108,1.3984,1.495,1.329,0.9361,y,0.3381,2,3,1
44,1.7837,2.5685,1.5386,1.9471,1.4874,1.4036,space,1.8225,1,23,1
44,1.834,2.0835,1.1751,1.2405,1.6148,1.1701,space,2.0786,3,16,1
44,1.3631,2.3642,1.3213,1.382,1.2892,1.452,space,2.5433,2,15,1
44,2.5347,4.1502,2.9981,2.8034,2.9155,1.8219,y,1.0166,3,1,1
44,1.8008,2.5385,1.4193,1.2683,1.2719,1.9116,n,1.0671,3,7,1
44,1.9236,1.7176,1.3352,1.3227,1.3482,1.3564,space,4.0937,2,21,1
44,2.8726,2.9323,1.9526,1.7779,1.7208,1.0831,y,0.537,1,5,1
44,2.4344,1.8172,1.423,1.3533,1.2823,1.8881,y,0.3108,3,4,1
44,2.2889,3.1421,1.4079,1.5363,1.2064,1.2371,space,0.929,1,20,1
44,1.4515,1.9748,0.9984,1.1136,1.415,1.0829,space,3.1543,3,13,1
44,1.4603,2.7333,1.7241,1.9174,2.4043,2.1182,y,0.7072,2,9,1
44,1.1236,3.9807,1.0035,0.8352,1.0034,1.1544,n,0.621,3,10,1
44,2.4754,2.1402,1.4334,1.3545,1.4305,1.4828,space,3.4304,2,24,1
44,1.0149,2.3597,2.3402,1.4816,1.1822,1.5412,n,3.5481,2,12,1
44,1.9304,1.8966,1.251,1.7507,1.6552,2.0672,space,5.6026,3,22,1
44,1.2296,1.5482,1.1164,1.4995,1.1542,0.9812,y,3.2869,1,11,1
44,0.7541,1.8641,1.2308,0.9925,1.0498,1.2984,space,170.0272,3,19,1
44,0.8352,1.9555,1.2445,1.4071,1.0872,1.432,n,1.004,2,6,1
44,2.9053,2.1536,1.0661,0.9997,1.2157,1.2993,y,1.0711,1,2,1
44,1.3637,1.9505,0.999,1.0072,1.4989,1.133,n,0.3769,1,8,1
44,2.3732,1.8765,0.8642,1.1331,0.9975,1.7847,space,1.7803,1,14,1
44,1.1845,1.8797,0.8518,0.8764,0.9223,1.1135,space,4.3947,1,17,1
44,1.3642,2.1989,1.1737,1.2269,1.4229,1.3146,space,3.1386,2,18,1
