participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
35,2.337,1.567,1.184,1.384,0.967,1.732,space,0.288,2,14,1
35,4.504,2.454,1,1.223,2.251,0.651,y,3.271,2,5,1
35,0.831,1.715,1.236,2.186,1.2,5.205,n,1.202,3,12,1
35,4.687,14.262,0.966,2.14,1.717,1.172,space,1.637,2,17,1
35,0.899,4.319,2.036,1.471,2.985,2.92,y,1.337,1,1,1
35,4.136,2.669,1.017,4.954,0.987,1.336,space,0.453,3,24,1
35,12.177,2.737,0.966,1.901,1.117,1.266,n,0.635,1,10,1
35,1.654,2.151,0.952,1.6,4.972,1.083,space,0.454,3,15,1
35,0.915,3.201,1.3,1.348,0.902,1.049,space,0.7,1,16,1
35,2.851,4.156,1.035,0.899,0.934,1.355,space,0.751,2,20,1
35,1.322,4.821,0.934,1.735,5.373,1.016,space,1.033,1,22,1
35,3.819,5.759,1.467,1.169,1.42,5.606,space,0.286,3,21,1
35,2.978,8.224,1.112,1.535,1.617,1.167,y,3.37,2,2,1
35,1.739,2.024,0.772,1.517,1.083,0.967,space,0.367,3,18,1
35,2.2,5.237,2.253,1.206,189.155,1.134,n,1.102,1,7,1
35,0.951,1.916,1.235,1.366,1.716,1.322,n,0.57,2,8,1
35,5.071,1.467,0.95,0.982,1.204,1.032,space,0.226,1,19,1
35,1.733,3.433,0.895,1.505,0.803,0.89,space,0.973,2,23,1
35,3.87,2.219,1.083,1.235,1.167,0.855,y,0.651,3,3,1
35,0.949,2.049,0.705,0.867,1.822,0.801,space,0.107,1,13,1
35,1.351,2.652,0.919,0.835,2.568,1.017,n,1.736,2,11,1
35,1.116,1.535,0.632,1.282,1.115,1.216,y,0.621,1,4,1
35,3.056,1.3,1.6,2.017,2.117,1.304,y,0.836,3,6,1
35,2.268,2.832,1.538,0.933,1.585,1.554,y,0.468,3,9,1
