participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
24,3.0973,3.9477,2.201,1.7898,1.788,2.5344,space,0.1658,1,20,1
24,1.1447,10.6072,1.4026,2.5053,2.7398,1.9362,n,2.8643,1,11,1
24,6.6129,17.228,1.8656,2.2044,2.9991,2.5069,space,5.3663,3,22,1
24,2.3381,3.2113,1.1558,2.2827,1.8692,1.6863,space,0.6208,3,16,1
24,6.4555,2.6621,0.9653,0.1625,2.0348,1.463,y,3.7925,3,4,1
24,6.0812,2.5913,1.2896,1.97,1.7649,1.1203,n,1.1906,1,8,1
24,10.4541,4.0395,0.9346,1.9684,2.0674,1.4411,space,0.1468,1,17,1
24,1.6536,9.37,1.4214,2.3713,2.0167,1.8361,y,2.4234,2,6,1
24,10.8014,3.4833,1.5843,2.5364,2.0183,0.9702,y,0.9046,1,5,1
24,3.6097,7.1131,1.6668,1.8462,1.4458,2.2249,space,0.1208,1,14,1
24,44.8091,7.8769,1.0365,0.9771,1.5337,1.2745,space,0.1362,1,23,1
24,1.9043,3.0994,6.0515,1.8678,2.3664,1.2571,y,6.2996,2,3,1
24,3.2184,3.591,1.2685,1.1348,2.3057,2.3386,space,0.2548,2,24,1
24,2.8194,3.8683,1.2347,1.3497,1.5327,2.1031,space,0.2676,3,19,1
24,1.452,5.7025,1.1512,9.9376,7.9114,1.3419,space,0.317,2,18,1
24,1.2593,4.3987,1.331,2.0088,1.3916,1.4442,n,1.597,3,10,1
24,1.5575,8.4659,2.5391,1.3647,2.1941,1.0386,y,0.9691,3,1,1
24,0.9453,2.5029,2.1051,1.5061,1.8541,1.6406,y,10.9802,2,12,1
24,1.9861,3.1763,0.9925,2.1164,5.0932,2.11,n,3.6068,3,7,1
24,1.1343,5.2512,0.87,1.0503,2.2852,1.672,space,0.3218,3,13,1
24,2.2411,2.3365,1.0682,1.2352,1.3875,1.0373,space,0.0014,2,15,1
24,3.3367,3.457,1.4686,1.5697,1.9684,1.5171,y,1.8871,1,2,1
24,10.0157,1.4485,1.1597,1.7016,1.5089,1.481,y,1.4509,2,9,1
24,10.5489,2.8735,1.2719,1.0104,1.6815,1.4327,space,0.7283,2,21,1
