participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
21,2.79514,3.325295,0.872555,1.8427,1.17755,1.483225,y,1.42129,2,9,1
21,1.902075,3.57233,1.013965,1.125815,1.386395,1.0709,space,0.681975,2,15,1
21,1.967665,2.162885,0.599805,1.73813,1.19067,1.60085,space,0.051255,3,19,1
21,2.19268,3.976065,1.467885,1.00651,2.8628,1.165685,space,0.168655,3,22,1
21,1.16137,2.0155,0.625775,0.93308,1.31136,1.33481,space,0.56925,1,23,1
21,2.449895,2.65415,0.917045,1.04795,1.583135,1.190085,space,0.41395,3,13,1
21,1.80321,2.72473,0.658385,0.85928,1.53566,1.23182,y,3.205855,3,1,1
21,2.987305,5.07222,1.170235,0.989585,1.326435,1.22886,n,1.17306,3,7,1
21,2.848675,1.33797,1.128245,1.092885,1.60228,1.127935,space,1.32186,2,18,1
21,1.14093,0.60228,2.442045,1.419245,1.727555,0.79331,n,0.431265,1,8,1
21,1.591805,1.823435,0.678605,1.584625,1.02321,0.91078,y,2.127015,2,3,1
21,1.734975,2.194385,1.087815,1.395695,1.896305,1.86847,space,0.302705,1,14,1
21,0.74854,5.23129,0.883675,1.01687,0.69645,2.28291,space,0.192225,2,24,1
21,1.900395,1.458135,1.12577,1.01851,1.05816,2.08759,space,2.14066,1,20,1
21,1.420895,2.292255,0.80612,0.99262,0.972835,1.06648,y,1.102095,2,12,1
21,1.422705,2.372265,0.92108,1.49241,0.670295,1.568535,y,1.02793,2,6,1
21,0.65708,1.02112,0.70739,0.875855,0.85013,0.909595,y,1.894295,1,11,1
21,3.793285,1.22063,0.831185,0.86303,1.065485,1.12884,y,1.53766,1,2,1
21,2.52273,2.17104,1.02353,0.8788,1.5239,0.724175,y,2.5139,1,5,1
21,2.41735,3.591945,0.648865,0.563495,0.69039,0.88388,space,0.245795,1,17,1
21,0.828615,1.179865,0.68679,0.9135,0.87681,0.29667,y,1.1576,3,10,1
21,0.5634,1.051225,0.770525,1.40153,0.80641,0.773285,space,0.416605,2,21,1
21,1.126605,1.28527,0.676365,0.61428,0.773325,0.762735,y,0.487025,3,4,1
21,1.18527,1.146745,1.239155,1.02405,0.77613,0.62536,space,0.576435,3,16,1
