participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
1,3.86202,3.0311,3.027075,3.185625,2.34516,2.574975,space,1.91416,3,18,1
1,3.689965,2.91188,4.29264,2.12851,2.10263,2.931985,space,2.38662,1,16,1
1,40.17427,2.32677,1.38658,2.47748,1.71481,1.886705,space,6.79493,2,23,1
1,2.532765,3.27638,2.980035,2.892355,1.884795,4.178405,y,2.14088,3,6,1
1,18.809835,3.86076,1.32993,1.799345,1.838665,1.536,space,3.06845,2,17,1
1,29.301495,4.092055,2.08108,2.160905,2.66046,2.879985,space,1.94866,3,24,1
1,2.813595,1.927985,1.48234,2.56121,1.92854,1.811495,y,1.92925,1,4,1
1,40.38825,3.100395,2.61238,1.612825,2.84819,1.718485,y,2.45804,2,2,1
1,8.052605,4.003165,1.7767,2.84842,2.25034,2.287955,space,1.96338,2,20,1
1,4.41997,2.48726,3.37717,1.99483,1.977815,1.478535,n,1.51309,2,8,1
1,2.64008,2.24324,1.826865,2.28723,2.213755,1.869155,space,2.41103,1,13,1
1,3.382725,4.144445,1.747355,2.111625,2.58739,2.99357,n,2.318425,2,11,1
1,1.70221,2.637135,1.829275,1.836185,1.72029,1.600345,y,1.470865,1,1,1
1,4.942595,2.93877,1.582505,2.14692,3.893985,3.513705,space,1.35599,1,19,1
1,4.054235,5.75869,1.866775,2.1524,3.777865,1.19919,space,1.26725,3,21,1
1,2.455275,2.289825,1.53297,2.614655,1.83963,2.89534,y,4.84397,3,3,1
1,3.12624,1.39991,1.151095,1.720685,1.29811,2.986485,n,1.66865,1,10,1
1,2.375405,2.46695,1.86827,1.7588,2.56037,2.05963,space,0.98088,2,14,1
1,3.508155,36.65787,1.4361,2.57119,2.340525,3.20078,y,1.395955,3,9,1
1,2.93743,3.18485,2.22632,5.99502,2.48223,2.599075,space,62.2606,3,15,1
1,3.381515,2.34258,1.90125,1.90366,2.60021,2.436425,n,2.154925,1,7,1
1,4.957215,2.57193,1.822245,2.268225,1.77043,1.684015,y,2.169735,2,5,1
1,2.87257,2.88238,1.608455,3.48574,3.533275,3.615225,space,1.098025,1,22,1
1,4.2535,4.65601,2.43978,1.695695,1.154635,1.815745,n,12.48729,3,12,1
