participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
53,2.3968,4.6916,2.0309,1.8775,1.8464,1.9234,space,0.6393,1,15,1
53,1.7264,2.7926,1.419,1.8395,1.7521,1.8346,space,0.0429,1,18,1
53,2.1406,4.5126,1.2538,1.5436,2.4075,1.7592,y,0.4677,3,2,1
53,4.1844,3.629,1.2937,1.3007,1.888,1.6233,space,0.5911,1,24,1
53,2.6249,4.7947,1.1956,1.1216,1.9363,1.818,n,0.9405,2,7,1
53,2.6608,2.8705,1.0777,2.2179,1.435,2.5241,n,0.8044,2,10,1
53,2.3012,3.5749,1.8187,1.8512,1.5176,1.9623,space,0.5451,3,17,1
53,3.2947,5.7106,1.5249,1.8096,2.4733,1.3929,y,0.4788,3,5,1
53,1.9384,3.8705,1.3743,1.3348,2.7643,1.6533,y,2.8218,2,1,1
53,4.5538,2.6677,1.2396,1.2601,1.3075,2.8019,y,0.7302,1,6,1
53,1.3942,2.935,2.1449,2.0212,1.1813,1.2535,n,0.4288,1,3,1
53,0.9767,4.6882,1.6512,1.3752,1.8527,1.0135,space,0.6553,2,13,1
53,3.4268,3.8179,2.128,1.0513,1.2011,2.0177,space,0.2676,3,20,1
53,2.601,2.9386,4.0958,2.1881,1.869,1.2344,space,0.301,1,21,1
53,2.7677,3.3179,2.1602,1.2259,1.3643,1.2955,space,0.3679,2,22,1
53,2.1295,3.1514,1.4414,1.6687,1.1629,1.589,space,0.0934,2,19,1
53,0.902,2.2677,1.4269,1.0182,1.1475,1.1704,n,0.8962,1,12,1
53,2.4559,1.4734,0.9847,1.0883,1.1446,1.3221,y,0.4228,2,4,1
53,1.059,4.1863,1.2462,1.5967,1.5774,1.2452,space,0.1224,2,16,1
53,1.0228,3.5178,1.1089,1.4845,1.4689,1.2009,n,0.6439,3,11,1
53,2.2436,2.9923,1.0345,1.1518,1.1223,1.2012,space,0.2466,3,23,1
53,1.4556,2.5288,1.0184,1.4517,2.0849,1.6427,y,0.6603,1,9,1
53,2.2856,1.7906,1.0409,1.1975,1.4371,2.3807,space,0.2175,3,14,1
53,2.03,3.251,3.1853,1.3008,1.8769,1.4219,n,0.3717,3,8,1
