participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
45,3.0056,4.2686,1.5908,1.19,1.3326,1.8838,space,0.0817,1,20,1
45,2.1456,2.8174,0.6568,0.9204,1.6088,1.2278,n,0.5292,3,10,1
45,1.3449,4.2524,0.719,0.6896,1.5483,1.4383,y,0.5778,3,1,1
45,2.0727,3.2256,1.3225,1.8035,0.8828,1.1509,y,0.8295,2,9,1
45,1.6665,2.2554,0.6442,0.8584,0.864,0.6043,n,0.2477,1,8,1
45,2.5324,4.2751,0.6705,1.0382,0.8107,0.9415,space,0.0858,2,18,1
45,2.3653,2.0596,0.5745,0.7333,0.7559,0.8293,space,0.4483,1,17,1
45,2.6861,2.3791,0.9246,0.9105,1.1309,1.3901,y,1.2996,2,6,1
45,3.5634,1.6875,0.7121,1.1379,1.5791,0.5926,y,1.3384,1,5,1
45,3.0902,3.048,0.4849,1.5573,1.2453,1.3069,space,0.1178,3,19,1
45,1.4189,2.0548,0.5279,0.6959,0.894,0.5495,space,0.0564,3,13,1
45,1.6939,2.0235,0.5206,1.0496,0.9653,1.0419,space,0.4689,2,15,1
45,3.4335,2.8277,0.6153,0.9015,1.22,1.1921,y,0.664,1,2,1
45,2.6367,2.4123,0.9247,1.0317,0.8361,1.5572,space,0.3977,2,24,1
45,1.8221,2.782,0.6406,0.9485,0.8904,1.1641,space,0.0744,1,14,1
45,2.1312,2.3383,0.8699,1.698,0.8775,0.9986,space,0.034,1,23,1
45,1.7115,2.1243,0.9367,0.9397,0.8421,1.1018,space,0.3148,3,22,1
45,3.1008,1.9022,0.6644,1.1082,0.9636,0.8241,space,0.4284,2,21,1
45,1.8348,3.7217,0.535,0.964,1.4449,0.7805,n,0.6753,1,11,1
45,1.2861,1.6091,0.7677,1.6179,0.601,0.8157,n,5.7835,2,12,1
45,1.9288,2.1051,0.8802,0.9155,1.2788,0.9191,y,0.5029,3,4,1
45,2.3489,2.7279,1.2073,0.7919,0.7934,0.6149,y,0.268,2,3,1
45,1.8325,1.9789,0.5812,0.9239,1.0556,1.0504,n,0.3027,3,7,1
45,1.2129,2.3821,4.0957,2.7851,2.4697,2.4356,space,0.4476,3,16,1
