participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
34,2.1738,4.7238,1.3994,2.5982,2.1994,2.2536,n,1.2778,2,11,1
34,3.1052,3.9002,1.6874,2.8045,2.6773,1.9437,space,0.0698,3,21,1
34,1.472,5.2134,1.7334,2.5836,2.4427,1.592,n,0.8227,2,8,1
34,2.3951,3.1976,1.6976,2.1044,1.9334,1.3892,y,1.2952,3,3,1
34,2.6266,3.885,1.3879,1.9555,1.8145,1.8005,space,0.5558,2,17,1
34,1.5477,2.9733,1.7543,2.2756,2.0162,1.9192,n,0.9945,1,10,1
34,3.8931,13.2781,2.6054,1.9482,4.5144,1.9621,y,1.435,2,2,1
34,4.5119,3.5601,1.5079,2.1825,4.5896,1.9812,y,1.1592,3,9,1
34,1.9982,4.4025,1.5855,1.9534,1.9518,1.9154,space,0.5882,3,18,1
34,1.7831,2.8362,2.6198,1.7526,2.0695,3.969,y,1.5525,3,6,1
34,4.5698,5.2183,2.3215,1.5651,1.5832,1.6652,space,0.7798,3,15,1
34,2.0779,4.3687,1.3512,1.9825,2.6762,1.4844,space,1.0456,1,22,1
34,2.4848,4.4811,1.3831,1.5672,3.1361,2.1022,space,0.464,3,24,1
34,4.2472,3.7691,3.4868,1.4843,1.4986,2.3588,space,0.6486,1,19,1
34,1.1204,3.5244,2.6298,1.6864,1.4495,1.5159,n,2.4202,3,12,1
34,8.676,3.8472,2.2163,1.6962,2.0045,2.3826,space,0.6061,2,20,1
34,2.2326,3.4661,1.7499,1.8517,1.4581,1.9901,n,1.3201,1,7,1
34,1.7886,6.2444,1.6415,1.8123,2.5756,1.3057,space,0.8892,1,16,1
34,2.6969,6.0005,1.7083,1.9544,3.1807,1.1751,y,1.2849,2,5,1
34,34.0092,4.648,1.3193,1.1479,1.9073,1.681,space,0.4939,1,13,1
34,3.6505,3.5856,1.1025,1.687,2.0528,2.2856,y,1.4191,1,4,1
34,3.3011,6.8288,3.7191,1.4542,2.1202,2.0194,space,0.5362,2,23,1
34,1.146,7.8314,1.8998,1.6218,2.7163,1.3819,y,0.9353,1,1,1
34,2.7279,5.2901,1.5882,1.6707,1.9705,1.8588,space,0.2091,2,14,1
