participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
58,2.145,4.4816,0.8994,1.1962,1.2096,1.1627,space,2.2252,3,22,1
58,2.3291,7.5133,1.9659,1.2497,0.9794,0.7953,space,0.7871,2,18,1
58,1.9767,2.0955,2.1106,0.8534,1.0625,1.3942,space,0.2214,1,23,1
58,1.7411,4.1308,2.0286,1.5114,1.3857,1.0547,n,5.8511,1,11,1
58,4.92,2.2387,1.0203,1.2186,1.2525,1.8532,y,13.5848,2,9,1
58,3.4357,1.4018,0.977,1.1211,0.8064,2.8044,y,6.8877,2,12,1
58,1.5757,2.7354,1.9036,1.7746,1.5563,1.0211,space,0.6183,1,17,1
58,1.6007,1.4222,1.1727,1.9061,0.8075,0.6903,y,1.9369,2,3,1
58,2.0584,5.1913,1.386,0.9053,1.2361,1.0023,space,0.1552,3,13,1
58,2.9533,1.7356,0.817,0.8732,0.9565,1.1522,space,0.9486,2,15,1
58,1.7472,1.7177,1.1697,1.1054,0.9192,2.8716,space,0.0185,1,14,1
58,2.1198,2.3901,0.7775,0.8769,0.8021,2.4859,n,3.9595,3,7,1
58,12.2515,2.2523,2.4171,1.1532,1.2262,1.1955,space,0.0375,3,19,1
58,1.6902,1.9194,1.0089,1.0251,1.025,1.0021,space,0.2237,1,20,1
58,2.4129,7.9912,1.3635,1.0347,0.8621,1.0187,space,0.0887,3,16,1
58,2.0595,9.7419,0.6506,0.6323,0.8468,0.9508,y,1.5475,3,1,1
58,2.1102,2.2529,0.7378,0.7852,0.8601,1.5241,space,0.0767,2,24,1
58,1.1857,1.1066,1.0569,0.8847,1.2845,1.4573,y,1.5475,2,6,1
58,1.4189,1.9416,0.9193,0.9697,0.7846,0.9023,y,0.9501,3,4,1
58,5.0553,4.777,0.6495,0.7784,1.142,1.093,y,0.7263,1,2,1
58,2.2095,1.81,0.8127,1.1675,1.8336,0.7489,space,0.5359,2,21,1
58,1.5872,1.6682,0.8062,1.0941,0.9781,1.2209,n,0.5018,1,8,1
58,1.9367,1.6398,0.8037,1.2389,1.1702,0.6362,y,1.1353,1,5,1
58,2.7001,3.4837,0.9179,1.384,0.9508,0.7346,n,0.3686,3,10,1
