participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
3,3.963365,3.66465,2.239685,2.9413,1.750905,1.8406,y,4.84843,1,4,1
3,3.31891,2.74305,2.622855,4.082175,3.398825,5.521405,space,1.55341,2,14,1
3,1.68471,5.056655,1.422285,2.268785,3.33735,2.09933,n,3.43064,1,10,1
3,13.199195,10.167265,2.68011,2.748035,2.394375,1.35204,y,3.23411,2,5,1
3,2.55093,2.68833,1.398865,1.33279,1.35024,1.533685,n,3.77686,1,7,1
3,2.491885,3.331705,1.686275,1.815435,2.3365,1.736395,y,4.814045,3,3,1
3,5.56938,14.76504,2.14911,3.580255,1.816395,1.667075,space,0.85412,3,18,1
3,17.65244,6.63184,1.33481,2.115835,2.203315,1.681275,space,0.80177,3,21,1
3,1.937975,7.13669,3.127535,1.887245,3.85006,4.80906,space,1.014695,2,23,1
3,1.886625,3.11652,1.545875,3.12011,1.68705,1.46549,space,0.73675,2,17,1
3,5.1872,3.667115,1.795715,1.89824,2.699135,1.93395,y,3.363295,2,2,1
3,3.99997,2.136055,2.048015,3.475515,2.11793,1.63128,y,3.414235,3,6,1
3,2.78228,3.14059,1.774085,2.099565,1.64753,2.58121,space,0.78636,2,20,1
3,1.28276,4.37526,1.550395,1.532025,3.283295,1.30284,n,5.03262,2,11,1
3,1.731065,3.64951,1.790135,1.599655,1.62871,1.464815,space,0.751005,1,16,1
3,0.997965,4.014345,2.007725,1.918915,4.214905,3.70441,n,4.0166,1,1,1
3,1.431595,2.905055,1.551315,1.245435,1.0651,1.986555,y,3.41576,3,12,1
3,2.33923,3.956835,1.6822,1.73789,1.852455,1.65441,n,3.05479,2,8,1
3,2.81401,3.450225,1.45039,1.51274,2.3145,1.68253,space,0.9644,3,24,1
3,2.302,2.843385,1.270955,1.86865,1.76936,1.61775,space,0.634915,1,22,1
3,2.32316,3.43782,2.08427,1.504165,2.11363,1.70227,space,0.63483,3,15,1
3,2.16449,2.914115,1.169385,1.800335,1.96469,1.921015,y,3.747865,3,9,1
3,1.88624,3.84814,1.667295,1.54517,1.31568,1.798635,space,0.755585,1,19,1
3,1.72169,3.431865,6.41893,1.617065,2.00812,1.198035,space,0.91794,1,13,1
