participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
12,3.834175,3.3842,1.76723,1.93415,1.86821,2.633805,space,1.104965,1,14,1
12,3.75268,8.732045,1.354075,2.901455,1.734375,2.10028,space,1.08698,1,17,1
12,1.63822,3.63335,1.97134,3.18729,2.236635,1.81394,n,0.81685,3,10,1
12,2.700365,5.280535,1.905695,2.365945,2.967235,2.9812,space,1.98355,2,24,1
12,3.988635,3.617255,2.01382,2.947385,2.24891,1.69972,space,2.95378,3,13,1
12,2.449775,4.08419,1.91994,3.15141,2.78745,2.153665,n,0.83207,1,8,1
12,3.39908,5.43408,2.13525,4.40272,2.56651,1.94743,space,1.01724,2,18,1
12,1.86372,5.062365,2.505945,3.683805,3.16708,2.105685,y,1.388365,3,1,1
12,4.2018,4.48529,2.218675,3.03411,2.899905,2.70082,y,0.71819,2,6,1
12,3.70097,3.950545,1.904955,2.468405,2.351745,3.10083,space,0.91723,2,21,1
12,2.050675,6.352325,1.536445,2.951975,2.8871,1.884,n,1.333235,1,11,1
12,3.85051,5.016655,1.68714,2.616565,3.552605,2.68091,y,1.10416,2,9,1
12,2.96652,6.03007,2.266965,1.719155,1.633005,1.86984,space,5.18113,2,15,1
12,3.78331,4.783285,1.83586,2.417055,2.26764,2.234545,space,5.102945,3,22,1
12,3.416775,3.80021,2.18502,2.404545,3.919135,2.33099,y,1.418475,1,2,1
12,5.94971,4.650125,1.85191,2.916895,3.022395,2.09843,y,0.9693,1,5,1
12,5.419465,6.416835,2.172915,1.883385,2.935075,3.917815,n,0.85006,3,7,1
12,3.3496,6.349725,1.937515,2.665835,2.65145,2.74011,space,2.48518,3,16,1
12,4.59977,2.417265,2.170745,2.35094,2.93629,1.951195,y,0.653855,3,4,1
12,5.867835,5.81684,2.100015,1.34833,1.765525,1.767805,space,1.522525,1,20,1
12,3.26674,3.801775,2.0515,2.36597,1.7653,2.34738,n,3.96684,2,12,1
12,5.169845,6.367425,1.79625,3.202935,2.00027,1.71689,y,1.303035,2,3,1
12,6.51435,5.266865,1.89947,1.849615,1.63286,1.883635,space,0.72052,3,19,1
12,0.232135,6.102755,2.067065,1.650705,1.645375,2.949795,space,2.283395,1,23,1
