participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
42,1.703,3.0212,1.2015,1.4023,1.103,1.2014,n,6.3413,2,12,1
42,2.8711,7.1085,1.1846,1.2022,1.3853,1.0026,y,0.2659,3,1,1
42,2.6041,1.4358,0.8353,1.2355,1.5025,1.9528,y,0.6176,2,9,1
42,1.5706,1.6685,1.2517,1.2018,1.3019,1.135,space,2.437,3,16,1
42,2.7041,3.3537,1.0723,1.1686,2.3691,2.5803,space,0.1368,3,22,1
42,3.1637,1.8367,0.8686,1.0359,0.9395,2.0204,y,2.2032,3,7,1
42,2.5365,2.3687,1.2346,3.6873,2.2195,1.3689,y,0.2023,1,2,1
42,2.2876,3.1372,0.8348,1.1855,1.2179,1.0347,space,1.8192,3,13,1
42,1.4018,10.9959,2.37,4.3715,3.5891,1.2297,space,0.5669,1,11,1
42,7.0903,4.137,1.7201,1.6526,1.0852,1.302,space,0.0173,3,19,1
42,1.5588,2.8709,1.1016,1.3365,2.0686,1.4691,space,0.1176,2,24,1
42,1.8857,2.2866,1.0083,1.7203,1.1353,1.1352,space,0.1684,1,17,1
42,3.2715,3.5702,1.5021,1.3019,1.8695,2.4538,space,0.4017,1,23,1
42,3.0036,2.5932,1.336,1.5016,2.0365,1.6359,space,0.6686,2,15,1
42,1.8674,2.3205,1.4057,1.2516,1.7861,1.0301,y,0.1508,2,3,1
42,1.7813,1.7869,1.0676,1.9026,1.3347,1.836,y,0.2206,2,6,1
42,2.0367,2.2869,1.2018,1.5688,1.5364,1.4353,space,0.001,1,20,1
42,3.3534,1.9031,0.836,1.2856,1.3015,1.0346,space,1.1032,2,21,1
42,3.6876,2.787,1.8527,1.4354,1.0689,1.436,space,0.1672,1,14,1
42,3.2218,2.3856,1.3188,1.1422,1.3185,0.8014,y,0.3347,1,5,1
42,3.204,2.3695,1.2354,1.5361,0.9685,1.3676,y,0.0874,3,4,1
42,6.591,1.6342,0.9352,0.9351,1.1689,1.3853,n,0.1176,1,8,1
42,1.7535,2.537,0.8357,1.3176,1.0029,0.8666,n,0.2512,3,10,1
42,1.4696,2.2198,1.3057,1.2854,1.0518,1.1017,space,0.643,2,18,1
