participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
29,3,2.79716,1,positive
29,4,2.017105,2,none
29,4,7.92804,3,none
29,3,14.13622,4,negative
29,4,3.04665,5,none
29,3,5.556015,6,positive
29,2,5.869785,7,none
29,1,3.19833,8,negative
29,4,4.94063,9,none
29,1,4.87662,10,negative
29,3,4.218525,11,negative
29,3,8.99122,12,negative
29,2,4.495945,13,none
29,1,3.07941,14,negative
29,1,5.941415,15,negative
29,3,4.87465,16,none
29,1,4.391945,17,none
29,4,17.37494,18,negative
29,3,6.604765,19,positive
29,1,2.16523,20,none
29,1,3.02365,21,negative
29,4,3.029565,22,positive
29,3,5.71721,23,none
29,3,3.852675,24,none
29,4,2.39121,25,positive
29,4,2.75352,26,positive
29,2,44.15535,27,negative
29,2,5.675775,28,negative
29,1,3.62835,29,negative
29,2,4.66455,30,none
29,4,2.15699,31,none
29,4,3.909125,32,negative
29,1,1.926105,33,none
29,1,2.80023,34,negative
29,4,2.90592,35,positive
29,4,4.477655,36,positive
29,3,9.04996,37,positive
29,1,2.457045,38,positive
29,1,5.240455,39,negative
29,2,4.329455,40,none
29,4,4.223275,41,positive
29,2,3.53765,42,positive
29,4,3.499265,43,positive
29,2,4.90785,44,positive
29,3,3.91972,45,none
29,2,4.70674,46,negative
29,4,3.776235,47,none
29,1,7.088675,48,negative
29,4,5.32255,49,negative
29,4,4.640385,50,negative
29,3,6.12153,51,none
29,4,3.60779,52,positive
29,4,2.279175,53,none
29,3,8.63414,54,positive
29,4,4.19221,55,positive
29,4,3.977925,56,none
29,4,3.90072,57,positive
29,2,4.146805,58,positive
29,4,3.54089,59,positive
29,1,5.75776,60,positive
