participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
50,1,9.0034,1,positive
50,4,4.1897,2,none
50,3,5.7314,3,none
50,1,7.4041,4,negative
50,2,4.5807,5,none
50,1,2.5911,6,positive
50,1,2.5464,7,none
50,4,4.4954,8,negative
50,2,5.1765,9,none
50,4,5.6553,10,negative
50,2,6.0068,11,negative
50,3,4.8669,12,negative
50,3,5.0244,13,none
50,4,5.8132,14,negative
50,4,9.389,15,negative
50,4,2.6289,16,none
50,2,10.9261,17,none
50,4,3.7781,18,negative
50,1,6.0445,19,positive
50,3,6.0427,20,none
50,4,5.7334,21,negative
50,1,2.5275,22,positive
50,2,5.0676,23,none
50,2,2.9912,24,none
50,1,2.0071,25,positive
50,1,2.6777,26,positive
50,3,8.683,27,negative
50,3,6.5395,28,negative
50,4,4.9985,29,negative
50,4,5.0398,30,none
50,3,7.7781,31,none
50,4,4.1401,32,negative
50,3,3.6064,33,none
50,3,3.6689,34,negative
50,2,3.5521,35,positive
50,1,4.5751,36,positive
50,1,3.5922,37,positive
50,1,3.6285,38,positive
50,2,6.5321,39,negative
50,3,4.2897,40,none
50,1,4.002,41,positive
50,1,2.02,42,positive
50,1,6.2413,43,positive
50,1,3.4778,44,positive
50,3,4.476,45,none
50,4,3.9911,46,negative
50,2,4.5018,47,none
50,4,3.7448,48,negative
50,4,4.1046,49,negative
50,4,2.6125,50,negative
50,3,5.8084,51,none
50,1,3.6016,52,positive
50,3,4.6911,53,none
50,1,3.4131,54,positive
50,1,2.591,55,positive
50,1,2.3412,56,none
50,3,7.4314,57,positive
50,1,2.3624,58,positive
50,2,5.19,59,positive
50,1,3.3556,60,positive
