participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
25,1,9.70406,1,positive
25,1,2.617745,2,none
25,2,5.239525,3,none
25,2,7.588185,4,negative
25,3,5.471905,5,none
25,2,4.30657,6,positive
25,1,5.38658,7,none
25,3,6.280145,8,negative
25,4,4.64363,9,none
25,2,4.57639,10,negative
25,4,11.558705,11,negative
25,2,4.909885,12,negative
25,4,4.894985,13,none
25,1,5.772215,14,negative
25,2,3.950655,15,negative
25,4,4.60197,16,none
25,1,5.859625,17,none
25,2,8.058,18,negative
25,3,7.410175,19,positive
25,1,4.79232,20,none
25,2,11.49213,21,negative
25,3,4.057415,22,positive
25,3,7.48265,23,none
25,4,4.735835,24,none
25,3,3.11198,25,positive
25,2,4.29565,26,positive
25,1,6.68713,27,negative
25,2,3.94722,28,negative
25,2,5.47144,29,negative
25,3,4.66957,30,none
25,1,6.358645,31,none
25,3,58.07575,32,negative
25,1,2.83927,33,none
25,1,9.899595,34,negative
25,2,5.272825,35,positive
25,2,17.46335,36,positive
25,3,4.752185,37,positive
25,1,3.921145,38,positive
25,3,13.017705,39,negative
25,1,10.23723,40,none
25,2,5.541,41,positive
25,3,8.155675,42,positive
25,2,3.99558,43,positive
25,2,8.366205,44,positive
25,2,7.99026,45,none
25,3,4.39947,46,negative
25,2,6.307315,47,none
25,1,3.42734,48,negative
25,1,7.33663,49,negative
25,4,3.88532,50,negative
25,1,6.020005,51,none
25,2,3.5831,52,positive
25,3,3.609585,53,none
25,2,5.527605,54,positive
25,3,3.730295,55,positive
25,2,24.603555,56,none
25,3,5.226455,57,positive
25,2,2.33303,58,positive
25,1,3.616525,59,positive
25,2,3.584695,60,positive
