participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
22,3,8.33948,1,positive
22,1,3.151945,2,none
22,3,4.066355,3,none
22,2,8.12352,4,negative
22,4,4.694115,5,none
22,4,4.141805,6,positive
22,2,8.548705,7,none
22,2,3.675515,8,negative
22,3,11.002455,9,none
22,1,3.4012,10,negative
22,4,3.75431,11,negative
22,1,2.75729,12,negative
22,2,6.19115,13,none
22,3,7.083255,14,negative
22,2,7.379155,15,negative
22,4,6.57894,16,none
22,2,5.083435,17,none
22,4,3.26221,18,negative
22,3,5.906745,19,positive
22,2,5.19515,20,none
22,1,3.162155,21,negative
22,3,3.525825,22,positive
22,2,3.900145,23,none
22,3,3.671835,24,none
22,3,4.86425,25,positive
22,3,7.27614,26,positive
22,2,6.044855,27,negative
22,2,6.73112,28,negative
22,2,3.66409,29,negative
22,3,4.07609,30,none
22,3,9.1603,31,none
22,3,3.289085,32,negative
22,1,2.63106,33,none
22,2,3.8525,34,negative
22,3,7.82635,35,positive
22,2,4.57576,36,positive
22,4,4.26433,37,positive
22,1,2.513495,38,positive
22,1,5.868255,39,negative
22,3,3.61362,40,none
22,3,7.5998,41,positive
22,4,5.89141,42,positive
22,2,4.23495,43,positive
22,4,5.473055,44,positive
22,3,6.38272,45,none
22,2,3.83325,46,negative
22,4,3.74586,47,none
22,1,3.59244,48,negative
22,3,4.62099,49,negative
22,2,2.756065,50,negative
22,2,6.13718,51,none
22,3,4.060055,52,positive
22,3,3.5346,53,none
22,3,4.13429,54,positive
22,2,3.86872,55,positive
22,1,4.778715,56,none
22,3,15.134875,57,positive
22,2,2.40129,58,positive
22,4,4.417625,59,positive
22,1,3.93479,60,positive
