participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
44,4,2.1558,1,positive
44,1,1.4006,2,none
44,2,1.8007,3,none
44,3,3.334,4,negative
44,4,1.6799,5,none
44,3,1.5006,6,positive
44,2,3.2502,7,none
44,1,2.1255,8,negative
44,2,3.2673,9,none
44,4,9.0019,10,negative
44,2,6.3169,11,negative
44,4,1.9187,12,negative
44,4,2.3344,13,none
44,4,2.8505,14,negative
44,3,3.3207,15,negative
44,3,3.1717,16,none
44,2,1.5101,17,none
44,4,2.4209,18,negative
44,1,3.9789,19,positive
44,2,2.2393,20,none
44,2,2.4665,21,negative
44,1,2.5797,22,positive
44,3,2.3886,23,none
44,2,2.2657,24,none
44,1,1.7299,25,positive
44,1,2.3293,26,positive
44,4,3.6458,27,negative
44,3,4.1143,28,negative
44,3,5.83,29,negative
44,4,2.6972,30,none
44,2,1.7686,31,none
44,3,1.8359,32,negative
44,1,1.534,33,none
44,4,2.9104,34,negative
44,1,2.7122,35,positive
44,2,3.0831,36,positive
44,2,3.4445,37,positive
44,1,1.5128,38,positive
44,2,2.1222,39,negative
44,4,2.4629,40,none
44,2,3.6611,41,positive
44,2,4.116,42,positive
44,2,2.8546,43,positive
44,1,2.0953,44,positive
44,2,1.98,45,none
44,2,2.2415,46,negative
44,4,2.5195,47,none
44,3,2.2841,48,negative
44,3,2.7691,49,negative
44,3,2.2639,50,negative
44,3,2.4675,51,none
44,2,1.8787,52,positive
44,3,1.3906,53,none
44,2,3.2681,54,positive
44,2,1.9337,55,positive
44,2,2.8207,56,none
44,4,2.2411,57,positive
44,2,4.3089,58,positive
44,2,3.2278,59,positive
44,1,3.3705,60,positive
