participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
14,2,5.790395,1,positive
14,3,5.003635,2,none
14,4,4.62322,3,none
14,3,11.960325,4,negative
14,2,2.23305,5,none
14,1,2.35869,6,positive
14,2,3.221475,7,none
14,1,2.423475,8,negative
14,4,2.39174,9,none
14,2,3.92195,10,negative
14,4,3.64727,11,negative
14,3,3.329045,12,negative
14,2,3.766145,13,none
14,3,4.77371,14,negative
14,2,3.03576,15,negative
14,3,5.60631,16,none
14,4,1.764065,17,none
14,4,2.822885,18,negative
14,3,4.183595,19,positive
14,1,2.832435,20,none
14,2,3.184785,21,negative
14,3,2.648265,22,positive
14,1,2.66891,23,none
14,4,2.216875,24,none
14,3,2.149755,25,positive
14,2,2.10081,26,positive
14,4,3.251165,27,negative
14,4,3.58556,28,negative
14,3,3.35117,29,negative
14,3,2.919395,30,none
14,3,2.23589,31,none
14,4,2.506145,32,negative
14,2,1.95591,33,none
14,3,2.44824,34,negative
14,3,3.79967,35,positive
14,2,4.71422,36,positive
14,3,3.39256,37,positive
14,1,2.468165,38,positive
14,1,3.799025,39,negative
14,1,2.505455,40,none
14,2,4.25452,41,positive
14,2,1.869845,42,positive
14,2,3.45454,43,positive
14,2,2.54393,44,positive
14,1,2.2759,45,none
14,4,2.388755,46,negative
14,4,2.067945,47,none
14,4,2.45154,48,negative
14,3,2.85879,49,negative
14,3,3.177965,50,negative
14,2,3.003745,51,none
14,2,1.741885,52,positive
14,1,1.92334,53,none
14,3,2.918675,54,positive
14,3,2.00514,55,positive
14,1,1.99317,56,none
14,3,2.907965,57,positive
14,3,1.868315,58,positive
14,2,2.2836,59,positive
14,2,2.732135,60,positive
