participant,EQ_score
1,13
2,23
3,36
4,8
5,24
6,11
7,25
8,30
9,28
10,6
11,44
12,50
13,21
14,35
15,24
16,25
17,20
18,24
19,14
20,27
21,39
22,15
23,16
24,37
25,25
26,33
27,19
28,23
29,18
30,21
31,41
32,59
33,56
34,57
35,43
36,53
37,39
38,32
39,55
40,60
42,51
43,56
44,46
45,57
46,59
47,57
48,60
49,70
50,66
51,52
52,40
53,54
54,62
55,62
56,59
57,41
58,43
59,17
60,28
