participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
34,4,4.5266,1,positive
34,3,2.7742,2,none
34,1,3.6082,3,none
34,1,9.2973,4,negative
34,1,1.7255,5,none
34,3,2.5937,6,positive
34,2,5.3236,7,none
34,1,2.7293,8,negative
34,1,2.9083,9,none
34,4,13.8405,10,negative
34,3,5.3576,11,negative
34,4,5.7569,12,negative
34,3,5.5252,13,none
34,4,6.0242,14,negative
34,2,10.7211,15,negative
34,4,6.3749,16,none
34,2,6.2747,17,none
34,4,6.873,18,negative
34,1,5.1953,19,positive
34,1,3.1166,20,none
34,4,4.5735,21,negative
34,1,2.579,22,positive
34,2,4.6936,23,none
34,2,4.5068,24,none
34,2,3.7783,25,positive
34,1,3.5915,26,positive
34,4,6.4374,27,negative
34,4,6.6614,28,negative
34,4,6.2136,29,negative
34,3,4.8444,30,none
34,2,2.8799,31,none
34,4,2.8806,32,negative
34,4,2.4814,33,none
34,2,5.2651,34,negative
34,4,4.617,35,positive
34,1,4.1528,36,positive
34,2,5.2852,37,positive
34,1,2.7319,38,positive
34,3,9.2764,39,negative
34,2,6.2721,40,none
34,1,4.3369,41,positive
34,1,3.6678,42,positive
34,1,3.8815,43,positive
34,1,8.261,44,positive
34,4,3.9456,45,none
34,3,4.9132,46,negative
34,1,6.335,47,none
34,4,5.0239,48,negative
34,4,4.8554,49,negative
34,4,3.7918,50,negative
34,1,4.8224,51,none
34,1,3.648,52,positive
34,3,3.6495,53,none
34,1,4.047,54,positive
34,2,2.8316,55,positive
34,2,6.8956,56,none
34,1,4.615,57,positive
34,2,3.7971,58,positive
34,1,2.8657,59,positive
34,3,3.8997,60,positive
