participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
2,2,21.800255,1,positive
2,2,4.631785,2,none
2,2,7.944035,3,none
2,2,9.72718,4,negative
2,2,8.49231,5,none
2,2,7.08661,6,positive
2,2,5.675235,7,none
2,2,12.18281,8,negative
2,2,8.176825,9,none
2,2,9.406685,10,negative
2,3,11.62319,11,negative
2,3,11.59035,12,negative
2,2,9.03726,13,none
2,2,9.301535,14,negative
2,2,14.24644,15,negative
2,3,9.669935,16,none
2,3,14.476775,17,none
2,3,12.798325,18,negative
2,3,17.730715,19,positive
2,2,9.57705,20,none
2,2,7.9714,21,negative
2,2,7.362535,22,positive
2,2,13.4084,23,none
2,3,11.205045,24,none
2,2,9.979125,25,positive
2,2,8.995345,26,positive
2,3,12.413275,27,negative
2,2,15.06551,28,negative
2,2,11.656485,29,negative
2,3,10.5999,30,none
2,3,9.83895,31,none
2,3,9.732365,32,negative
2,3,6.180695,33,none
2,2,8.398455,34,negative
2,3,8.1503,35,positive
2,2,7.44284,36,positive
2,2,21.84426,37,positive
2,2,5.93202,38,positive
2,3,8.040335,39,negative
2,2,5.74491,40,none
2,2,6.9339,41,positive
2,2,6.84885,42,positive
2,3,12.645075,43,positive
2,3,17.098605,44,positive
2,3,8.949945,45,none
2,3,8.87308,46,negative
2,1,13.896195,47,none
2,3,11.422705,48,negative
2,3,9.940485,49,negative
2,3,7.26657,50,negative
2,2,7.98662,51,none
2,3,13.51591,52,positive
2,1,8.02138,53,none
2,3,12.782185,54,positive
2,3,13.84905,55,positive
2,2,8.71855,56,none
2,2,21.89296,57,positive
2,3,6.16772,58,positive
2,2,6.74963,59,positive
2,2,6.8892,60,positive
