participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
17,2,8.2275,1,positive
17,3,6.20856,2,none
17,3,2.71098,3,none
17,1,8.42236,4,negative
17,3,3.35839,5,none
17,2,3.84312,6,positive
17,2,5.486445,7,none
17,1,4.17006,8,negative
17,4,4.38166,9,none
17,2,5.79786,10,negative
17,3,3.36028,11,negative
17,3,4.904775,12,negative
17,1,6.798345,13,none
17,1,6.341565,14,negative
17,2,3.913785,15,negative
17,3,5.176935,16,none
17,3,5.43227,17,none
17,4,3.800085,18,negative
17,4,4.790675,19,positive
17,2,4.106235,20,none
17,2,7.50921,21,negative
17,2,11.50234,22,positive
17,3,8.52044,23,none
17,3,2.972575,24,none
17,3,4.63435,25,positive
17,2,3.11364,26,positive
17,3,7.738415,27,negative
17,3,5.78924,28,negative
17,1,5.619805,29,negative
17,3,2.608995,30,none
17,4,2.3496,31,none
17,4,3.251685,32,negative
17,3,2.39877,33,none
17,1,2.94945,34,negative
17,4,7.407405,35,positive
17,3,4.58137,36,positive
17,3,5.47531,37,positive
17,1,3.275885,38,positive
17,2,5.426325,39,negative
17,1,5.130115,40,none
17,3,4.468395,41,positive
17,1,3.017935,42,positive
17,3,3.681595,43,positive
17,3,6.350305,44,positive
17,2,3.764055,45,none
17,2,4.432005,46,negative
17,3,5.283055,47,none
17,2,7.72033,48,negative
17,3,5.45596,49,negative
17,3,7.52536,50,negative
17,2,5.31715,51,none
17,3,3.633815,52,positive
17,3,3.21728,53,none
17,3,2.615305,54,positive
17,2,2.97712,55,positive
17,2,9.92897,56,none
17,3,4.686635,57,positive
17,3,2.85899,58,positive
17,2,3.1443,59,positive
17,3,7.0621,60,positive
