participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
8,2,11.113775,1,positive
8,2,3.765145,2,none
8,3,5.60438,3,none
8,1,16.56272,4,negative
8,3,6.95661,5,none
8,2,3.13109,6,positive
8,1,4.578995,7,none
8,2,4.488655,8,negative
8,2,4.25198,9,none
8,4,5.59125,10,negative
8,4,8.54573,11,negative
8,3,8.041005,12,negative
8,1,9.641305,13,none
8,2,10.799875,14,negative
8,3,12.938815,15,negative
8,3,16.26837,16,none
8,3,7.558485,17,none
8,4,5.60379,18,negative
8,3,5.523385,19,positive
8,2,6.30875,20,none
8,3,16.09419,21,negative
8,2,4.84766,22,positive
8,2,14.67841,23,none
8,4,5.28862,24,none
8,1,3.933585,25,positive
8,3,6.41287,26,positive
8,2,18.92984,27,negative
8,2,17.53046,28,negative
8,3,7.454425,29,negative
8,3,6.496615,30,none
8,4,8.138605,31,none
8,2,8.527905,32,negative
8,3,3.104,33,none
8,2,7.419225,34,negative
8,2,7.74717,35,positive
8,2,16.768245,36,positive
8,3,5.96526,37,positive
8,1,3.5148,38,positive
8,3,8.081395,39,negative
8,2,7.074825,40,none
8,3,3.924225,41,positive
8,4,7.630195,42,positive
8,2,10.191885,43,positive
8,1,8.41013,44,positive
8,4,4.421225,45,none
8,4,5.566915,46,negative
8,4,4.26213,47,none
8,2,8.002175,48,negative
8,2,8.994305,49,negative
8,3,10.05973,50,negative
8,2,9.147495,51,none
8,3,4.804095,52,positive
8,1,2.326975,53,none
8,4,6.878305,54,positive
8,4,2.44846,55,positive
8,1,3.13155,56,none
8,2,7.860225,57,positive
8,2,3.057995,58,positive
8,3,4.185475,59,positive
8,1,4.775765,60,positive
