participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
38,2,5.1701,1,positive
38,2,4.9722,2,none
38,4,5.3386,3,none
38,3,12.0455,4,negative
38,1,2.5196,5,none
38,4,5.7225,6,positive
38,1,2.9209,7,none
38,2,3.7535,8,negative
38,3,4.4062,9,none
38,2,6.6895,10,negative
38,4,5.2556,11,negative
38,4,3.9209,12,negative
38,2,3.3046,13,none
38,1,5.5891,14,negative
38,2,5.6408,15,negative
38,4,4.5213,16,none
38,3,7.0916,17,none
38,4,4.0142,18,negative
38,2,7.0811,19,positive
38,4,6.0064,20,none
38,3,6.1907,21,negative
38,2,5.4221,22,positive
38,3,5.8722,23,none
38,3,3.6051,24,none
38,3,4.0714,25,positive
38,1,4.0712,26,positive
38,4,5.6077,27,negative
38,3,11.414,28,negative
38,2,7.8411,29,negative
38,3,5.6056,30,none
38,4,4.0384,31,none
38,2,5.3388,32,negative
38,4,2.488,33,none
38,2,4.1887,34,negative
38,2,4.6712,35,positive
38,3,7.2074,36,positive
38,1,7.8603,37,positive
38,1,2.4861,38,positive
38,4,9.6097,39,negative
38,1,3.2374,40,none
38,3,6.9583,41,positive
38,4,5.4231,42,positive
38,1,4.3057,43,positive
38,3,4.0887,44,positive
38,1,6.823,45,none
38,1,5.307,46,negative
38,4,3.3887,47,none
38,3,5.9075,48,negative
38,4,5.0552,49,negative
38,1,3.354,50,negative
38,1,3.1197,51,none
38,2,6.0114,52,positive
38,2,3.293,53,none
38,3,5.0379,54,positive
38,4,5.2292,55,positive
38,2,4.3054,56,none
38,1,3.4533,57,positive
38,3,2.8872,58,positive
38,3,3.8553,59,positive
38,2,2.8804,60,positive
