participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
30,3,4.545845,1,positive
30,2,4.26292,2,none
30,3,2.605785,3,none
30,4,0.007345,4,negative
30,4,1.8092,5,none
30,3,3.370045,6,positive
30,2,2.31723,7,none
30,3,18.325385,8,negative
30,4,2.498645,9,none
30,3,4.806755,10,negative
30,4,3.143655,11,negative
30,2,2.19928,12,negative
30,3,2.647185,13,none
30,1,3.438135,14,negative
30,2,4.399345,15,negative
30,3,7.784335,16,none
30,3,3.05768,17,none
30,4,3.532995,18,negative
30,4,2.49181,19,positive
30,2,2.36524,20,none
30,2,14.887765,21,negative
30,3,1.87005,22,positive
30,2,3.38824,23,none
30,3,1.545745,24,none
30,3,1.729295,25,positive
30,3,1.93947,26,positive
30,4,3.556515,27,negative
30,3,2.309765,28,negative
30,4,3.25667,29,negative
30,3,3.66808,30,none
30,4,1.544425,31,none
30,3,1.834325,32,negative
30,3,1.672655,33,none
30,2,4.1227,34,negative
30,4,2.654455,35,positive
30,3,22.92419,36,positive
30,3,3.229435,37,positive
30,2,1.684455,38,positive
30,3,18.501115,39,negative
30,3,2.585585,40,none
30,3,16.56799,41,positive
30,2,1.951885,42,positive
30,3,2.37649,43,positive
30,3,1.90449,44,positive
30,3,2.16827,45,none
30,2,2.82894,46,negative
30,3,2.2888,47,none
30,2,2.725795,48,negative
30,3,2.221985,49,negative
30,4,2.469435,50,negative
30,4,1.553875,51,none
30,4,1.642,52,positive
30,3,2.41838,53,none
30,3,4.269335,54,positive
30,4,2.86666,55,positive
30,2,2.001615,56,none
30,3,1.41961,57,positive
30,3,2.28377,58,positive
30,2,2.417825,59,positive
30,3,1.933575,60,positive
