participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
13,4,8.606195,1,positive
13,3,9.968935,2,none
13,4,2.685215,3,none
13,3,12.66661,4,negative
13,1,3.180325,5,none
13,4,2.386255,6,positive
13,1,2.226575,7,none
13,1,2.82427,8,negative
13,3,3.521675,9,none
13,2,4.812935,10,negative
13,4,4.027225,11,negative
13,1,3.877195,12,negative
13,2,5.43457,13,none
13,2,7.20936,14,negative
13,1,4.203305,15,negative
13,4,9.550035,16,none
13,4,2.238845,17,none
13,4,3.05029,18,negative
13,4,5.458265,19,positive
13,1,3.07484,20,none
13,2,5.21802,21,negative
13,4,4.270825,22,positive
13,3,8.05355,23,none
13,3,4.44879,24,none
13,4,4.521425,25,positive
13,3,6.85857,26,positive
13,4,4.79133,27,negative
13,2,9.185185,28,negative
13,2,5.85697,29,negative
13,3,5.999445,30,none
13,4,4.222745,31,none
13,3,5.420705,32,negative
13,2,3.88019,33,none
13,2,3.868625,34,negative
13,4,3.28111,35,positive
13,4,7.22217,36,positive
13,2,5.27999,37,positive
13,1,5.254965,38,positive
13,1,13.075535,39,negative
13,1,5.956165,40,none
13,3,3.878145,41,positive
13,2,8.542665,42,positive
13,4,6.30502,43,positive
13,2,5.079985,44,positive
13,4,6.042225,45,none
13,4,5.561195,46,negative
13,2,4.292915,47,none
13,1,3.877015,48,negative
13,4,6.08081,49,negative
13,3,4.431325,50,negative
13,1,5.075495,51,none
13,4,2.87583,52,positive
13,2,5.811,53,none
13,4,4.619385,54,positive
13,4,3.590405,55,positive
13,1,3.679945,56,none
13,1,2.923655,57,positive
13,2,4.2582,58,positive
13,4,5.799985,59,positive
13,4,10.25756,60,positive
