participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
15,4,6.661,1,positive
15,2,5.812,2,none
15,4,4.302,3,none
15,2,13.985,4,negative
15,2,4.819,5,none
15,1,4.955,6,positive
15,3,6.788,7,none
15,1,12.253,8,negative
15,4,4.779,9,none
15,3,8.901,10,negative
15,3,5.951,11,negative
15,3,5.624,12,negative
15,4,9.044,13,none
15,1,6.11,14,negative
15,1,6.933,15,negative
15,4,6.488,16,none
15,3,6.199,17,none
15,4,6.006,18,negative
15,4,8.611,19,positive
15,2,4.488,20,none
15,1,14.068,21,negative
15,4,5.82,22,positive
15,4,4.726,23,none
15,3,3.439,24,none
15,4,3.328,25,positive
15,2,7.336,26,positive
15,1,9.155,27,negative
15,4,5.534,28,negative
15,1,12.971,29,negative
15,1,3.514,30,none
15,4,4.059,31,none
15,4,3.931,32,negative
15,1,2.449,33,none
15,1,2.685,34,negative
15,4,3.053,35,positive
15,4,19.599,36,positive
15,4,6.677,37,positive
15,1,5.345,38,positive
15,2,7.792,39,negative
15,4,2.784,40,none
15,4,3.898,41,positive
15,1,4.544,42,positive
15,1,7.837,43,positive
15,4,5.964,44,positive
15,3,9.836,45,none
15,1,5.459,46,negative
15,4,2.273,47,none
15,2,6.651,48,negative
15,3,6.831,49,negative
15,4,4.508,50,negative
15,4,4.635,51,none
15,4,6.897,52,positive
15,3,5.432,53,none
15,4,6.547,54,positive
15,4,3.874,55,positive
15,2,6.02,56,none
15,4,3.752,57,positive
15,4,1.688,58,positive
15,2,6.602,59,positive
15,1,6.876,60,positive
