participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
43,1,10.2256,1,positive
43,2,3.3488,2,none
43,2,4.1557,3,none
43,3,18.7606,4,negative
43,1,2.8987,5,none
43,1,1.6012,6,positive
43,2,4.4662,7,none
43,3,5.7834,8,negative
43,3,6.2294,9,none
43,2,6.2936,10,negative
43,4,4.93,11,negative
43,4,6.7584,12,negative
43,3,5.5667,13,none
43,4,8.0839,14,negative
43,4,5.687,15,negative
43,3,6.3553,16,none
43,2,7.8437,17,none
43,4,3.4986,18,negative
43,1,6.9329,19,positive
43,1,5.3299,20,none
43,3,7.735,21,negative
43,1,2.8651,22,positive
43,1,3.6473,23,none
43,2,4.2196,24,none
43,1,2.9689,25,positive
43,1,2.6826,26,positive
43,3,8.0658,27,negative
43,3,5.9468,28,negative
43,3,11.3297,29,negative
43,2,5.6637,30,none
43,3,4.9658,31,none
43,4,2.9391,32,negative
43,3,4.8125,33,none
43,3,9.6265,34,negative
43,2,7.43,35,positive
43,2,8.8496,36,positive
43,2,7.1287,37,positive
43,1,5.3053,38,positive
43,2,8.1623,39,negative
43,1,5.4585,40,none
43,1,3.9288,41,positive
43,1,3.4795,42,positive
43,1,4.1823,43,positive
43,1,2.4887,44,positive
43,3,10.118,45,none
43,3,8.3658,46,negative
43,4,3.143,47,none
43,4,6.4179,48,negative
43,3,12.3138,49,negative
43,3,4.8157,50,negative
43,1,4.9168,51,none
43,1,3.8019,52,positive
43,3,4.3326,53,none
43,2,5.251,54,positive
43,2,2.6485,55,positive
43,2,5.234,56,none
43,3,8.5363,57,positive
43,3,4.7468,58,positive
43,2,5.6462,59,positive
43,1,7.5405,60,positive
