participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
36,1,8.34,1,positive
36,2,7.1351,2,none
36,2,6.1789,3,none
36,3,27.7412,4,negative
36,4,2.7955,5,none
36,1,2.0617,6,positive
36,2,2.5199,7,none
36,4,2.6155,8,negative
36,4,3.4202,9,none
36,4,7.5579,10,negative
36,3,8.0761,11,negative
36,4,3.7669,12,negative
36,2,8.3161,13,none
36,4,3.6032,14,negative
36,3,7.1223,15,negative
36,4,9.4874,16,none
36,3,4.8425,17,none
36,4,3.5292,18,negative
36,1,5.4221,19,positive
36,3,5.838,20,none
36,4,10.7376,21,negative
36,2,5.3709,22,positive
36,3,93.3111,23,none
36,4,3.4612,24,none
36,2,7.0141,25,positive
36,1,11.695,26,positive
36,3,10.9888,27,negative
36,3,5.7018,28,negative
36,3,6.2391,29,negative
36,4,4.8805,30,none
36,4,3.7419,31,none
36,4,11.6445,32,negative
36,4,4.475,33,none
36,4,5.1705,34,negative
36,2,4.0452,35,positive
36,2,3.4417,36,positive
36,3,6.5018,37,positive
36,1,2.033,38,positive
36,2,7.6694,39,negative
36,2,3.0224,40,none
36,2,4.2739,41,positive
36,1,3.422,42,positive
36,1,3.3776,43,positive
36,2,11.7653,44,positive
36,2,3.3581,45,none
36,4,4.8524,46,negative
36,2,3.0618,47,none
36,4,4.7725,48,negative
36,2,34.3546,49,negative
36,3,8.5006,50,negative
36,2,7.3531,51,none
36,2,3.0584,52,positive
36,2,1.7475,53,none
36,2,2.6678,54,positive
36,2,2.01,55,positive
36,2,4.2879,56,none
36,3,8.1479,57,positive
36,2,2.3618,58,positive
36,2,2.771,59,positive
36,2,4.5801,60,positive
